Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",0.0
"Ajani, Nacatl Pariah | Karakas | Mutavault",-1.0
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",1.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-0.5
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Ancient Tomb | Phyrexian Revoker | Phyrexian Revoker,0.0
Angel of Sanctions | Fountain of Cho | Unwanted Remake,-1.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,0.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,0.5
Calciform Pools | Island Sanctuary | Mirrex,-1.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Cavern of Souls | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-0.5
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.5
Crystal Vein | Elite Spellbinder | Mox Pearl,1.0
Crystal Vein | Magus of the Moon | Mox Ruby,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Hexdrinker | Tropical Island,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Daze | Sleep-Cursed Faerie | Underground Sea,0.0
Divine Gambit | Remote Farm | Skrelv's Hive,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.5
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,-1.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Hammerheim | Heartfire Hero | Mental Misstep,1.0
Hexdrinker | Llanowar Reborn | Pick Your Poison,1.0
Hexdrinker | Ruthless Negotiation | Undiscovered Paradise,0.5
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Isochron Scepter | Mana Crypt | Verdant Command,0.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe,-1.0
Living Conundrum | Mental Misstep | Sand Silos,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,0.0
Mox Jet | Mutavault | Nezumi Shortfang,0.0
"Mox Pearl | Rishadan Port | Thalia, Guardian of Thraben",0.5
Murderous Rider | Subterranean Hangar | The Tabernacle at Pendrell Vale,0.0
Phyrexian Processor | Planar Nexus | Urza's Tower,1.0
Prairie Dog | Remote Farm | Skrelv's Hive,-1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
