Opponent Decklist,Result
Bayou | Hexdrinker | Inquisition of Kozilek,0.5
"Blazing Rootwalla | Plateau | Skrelv, Defector Mite",1.0
Cabal Therapist | Shrouded Lore | Swamp,1.0
Crystal Vein | Leveler | Mana Vault,1.0
Crystal Vein | Mox Jet | Unstoppable Slasher,1.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Dryad Arbor | Leyline of Sanctity | Mistbreath Elder,1.0
Ensnaring Bridge | Sleeper Agent | Subterranean Hangar,1.0
"Eye of Ugin | Inverter of Truth | Urborg, Tomb of Yawgmoth",1.0
Forest | Healer of the Glade | Mistbreath Elder,1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Hexdrinker | Razorverge Thicket | Unwanted Remake,1.0
Hickory Woodlot | Verdant Command | Wheel of Sun and Moon,1.0
Island | Mark of Eviction | Sleep-Cursed Faerie,-1.0
Kabira Crossroads | Providence | Speaker of the Heavens,1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,-0.5
Mishra's Factory | Sheltered Valley | Thespian's Stage,-1.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,0.0
Abandon Hope | Dryad Arbor | Force of Despair,0.0
Adanto Vanguard | Luminarch Aspirant | Remote Farm,1.0
Aether Vial | Elvish Spirit Guide | Scornful Egotist,1.0
Akroan Horse | Ancient Tomb | Sol Ring,1.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Ancient Tomb | Chalice of the Void | Clockwork Droid,0.5
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,1.0
Assassin's Trophy | Geothermal Crevice | Keldon Halberdier,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Bone Shards | Infestation Sage | Swamp,1.0
Bottomless Vault | Coffin Queen | Sheoldred's Edict,1.0
Bottomless Vault | Encroach | Tomb of Urami,0.0
Bottomless Vault | Murderous Rider | Sheoldred's Edict,1.0
Crack the Earth | Greater Gargadon | Mountain,1.0
Crystal Vein | Mox Emerald | Words of Wilding,1.0
Custody Battle | Flamekin Village | Undiscovered Paradise,1.0
Dismember | Dryad Arbor | Pick Your Poison,-0.5
Dismember | Hollow Trees | Quagnoth,0.0
Drannith Magistrate | Mishra's Factory | Mox Pearl,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,-1.0
Dryad Arbor | Dryad Arbor | Pick Your Poison,-1.0
Dryad Arbor | Embiggen | Serene Remembrance,0.0
Dwarven Hold | Stingerback Terror | Subterranean Tremors,1.0
"Dwarven Ruins | Emrakul, the Aeons Torn | Glimpse of Tomorrow",1.0
Etched Slith | Life of Toshiro Umezawa | Peat Bog,0.5
Foil | Island | Nether Spirit,0.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
"Fury | Mercadian Bazaar | Squee, the Immortal",1.0
Hammerheim | Heartfire Hero | Heartfire Hero,1.0
Hammerheim | Heartfire Hero | Lightning Bolt,1.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Memnite | Memnite | Memnite,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-0.5
Mishra's Factory | Mox Pearl | Prairie Dog,-0.5
Mishra's Factory | Springheart Nantuko | Undiscovered Paradise,0.0
Phyrexian Processor | Planar Nexus | Urza's Tower,1.0
Prairie Dog | Prairie Dog | Remote Farm,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,1.0
