Opponent Decklist,Result
Academy Ruins | Breya's Apprentice | Izzet Boilerworks,-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Ancient Tomb | Mox Ruby | Urabrask's Forge,0.0
Ancient Tomb | Ornithopter | Steel Overseer,-0.5
Bitterblossom | Sheoldred's Edict | Subterranean Hangar,1.0
Bloodhall Ooze | Slitherhead | Undiscovered Paradise,0.0
Brute Force | Goblin Guide | Mountain,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,-1.0
Cenn's Tactician | Scrubland | Thoughtseize,-0.5
Court of Ardenvale | Icatian Store | White Plume Adventurer,-1.0
Dark Ritual | Ebon Stronghold | Phyrexian Obliterator,1.0
Diregraf Ghoul | Ebon Stronghold | Gifted Aetherborn,-0.5
Encroach | Soldevi Sentry | Swamp,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Greater Gargadon | Path to Exile | Plateau,-0.5
Gruul Turf | Keldon Megaliths | Maze of Ith,-1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Kaldra Compleat | Remote Farm | Stoneforge Mystic,1.0
Kaya's Ghostform | Sleep-Cursed Faerie | Underground Sea,0.0
"Kozilek, Butcher of Truth | Saprazzan Cove | Show and Tell",1.0
Leyline of Sanctity | Memnite | Solitude,1.0
Mox Jet | Mox Ruby | Oni-Cult Anvil,0.0
