Opponent Decklist,Result
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",0.5
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,1.0
Animate Dead | Harvester of Misery | Peat Bog,0.5
Battlefly Swarm | Encroach | Swamp,1.0
"Bristly Bill, Spine Sower | Quirion Ranger | Savannah",1.0
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Mana Vault | Thought-Knot Seer,-0.5
City of Traitors | Mox Jet | Plague Engineer,0.0
City of Traitors | Phyrexian Revoker | Steel Overseer,1.0
Daze | Ocelot Pride | Tundra,-1.0
Dryad Arbor | Hexdrinker | Lush Growth,1.0
Eater of Days | Mana Vault | Swamp,1.0
Etched Slith | Peat Bog | Sheoldred's Edict,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-0.5
Mox Ruby | Mutavault | Roiling Vortex,1.0
"Phelia, Exuberant Shepherd | Portable Hole | Remote Farm",0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",0.0
Prairie Dog | Remote Farm | White Orchid Phantom,-0.5
Agent of Treachery | Flash | Sand Silos,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",-0.5
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blood Knight | Sandstone Needle | Tibalt's Trickery,-0.5
"Boseiju, Who Endures | Inkmoth Nexus | Mox Emerald",1.0
"Boseiju, Who Endures | Llanowar Reborn | Rograkh, Son of Rohgahh",1.0
Bottomless Vault | Bottomless Vault | Doomsday Confluence,-1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-0.5
Ezio Auditore da Firenze | Peat Bog | Thraximundar,1.0
Flickering Ward | Undiscovered Paradise | Venerated Rotpriest,1.0
Generous Plunderer | Sandstone Needle | Stasis,1.0
Karakas | Ocelot Pride | Ocelot Pride,-1.0
"Mishra's Factory | Molten Slagheap | Ob Nixilis, the Adversary",-1.0
Ocelot Pride | Storm World | Undiscovered Paradise,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | Senu, Keen-Eyed Protector",1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | White Orchid Phantom,-1.0
"Snuff Out | Swamp | Valentin, Dean of the Vein",0.0
