Opponent Decklist,Result
Ancient Ziggurat | Champion of the Parish | Norin the Wary,1.0
Ancient Ziggurat | Galerider Sliver | Virulent Sliver,1.0
Blazing Rootwalla | Burning Inquiry | Mountain,-1.0
Cabal Therapy | Nested Shambler | Swamp,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
Crack the Earth | Old-Growth Dryads | Taiga,-0.5
Cruel Sadist | Shrieking Affliction | Swamp,1.0
Ghost Quarter | Memnite | Mental Misstep,-1.0
Hollow Trees | Shield Sphere | Untamed Kavu,1.0
Inkmoth Nexus | Inkmoth Nexus | Wasteland,-1.0
"Rushwood Grove | Thrun, the Last Troll | Wasteland",-1.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,-1.0
Augur of Skulls | Mishra's Factory | Mox Jet,0.0
Bayou | Scythe Tiger | Thoughtseize,-1.0
Bitterblossom | Feed the Swarm | Peat Bog,1.0
Bitterblossom | Peat Bog | Smallpox,-0.5
Blightsteel Colossus | Energy Field | Sand Silos,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Bottomless Vault | Ophiomancer | Tithing Blade,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,1.0
Cenn's Tactician | Pick Your Poison | Savannah,1.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Undercity Sewers,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Chronomaton | Crashing Footfalls | Forest,1.0
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Dark Depths | Sunken Citadel | Thespian's Stage,0.5
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Gifted Aetherborn | Peat Bog | Sinkhole,0.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Mindlash Sliver | Subterranean Hangar | Tithing Blade,1.0
Reality Shift | Saprazzan Skerry | Watcher of Hours,0.0
Abiding Grace | Gingerbrute | Icatian Store,1.0
Alpine Moon | Cenn's Tactician | Plateau,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,1.0
Bitterblossom | Mox Jet | Rishadan Port,-0.5
"Brazen Borrower | Jace, Wielder of Mysteries | Sand Silos",1.0
Chancellor of the Annex | Chancellor of the Forge | Karakas,-1.0
Chancellor of the Annex | Dryad Arbor | Shining Shoal,-1.0
Chancellor of the Annex | Fleeting Spirit | Fountain of Cho,-1.0
Chancellor of the Annex | Icatian Store | March of Otherworldly Light,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Daze | Inkmoth Nexus | Island,-1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
"Dunes of the Dead | Smallpox | Urborg, Tomb of Yawgmoth",0.0
Greater Gargadon | Plateau | Restore Balance,1.0
"Portable Hole | Remote Farm | Thalia, Guardian of Thraben",1.0
Riftwing Cloudskate | Saprazzan Skerry | Watcher of Hours,1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Ancient Tomb | Field of Ruin | Hangarback Walker,0.0
Ancient Tomb | Hangarback Walker | Steel Overseer,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,-1.0
Arcbound Ravager | Field of Ruin | Mana Crypt,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",1.0
Cathedral of War | Inkmoth Nexus | Inkmoth Nexus,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,1.0
Cruel Sadist | Encroach | Snow-Covered Swamp,-0.5
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.5
Deep-Cavern Bat | Mox Jet | Rishadan Port,-1.0
Dwarven Hold | Form of the Dragon | Maze of Ith,-1.0
Encroach | Fourth Bridge Prowler | Snow-Covered Swamp,-0.5
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,1.0
Mishra's Factory | Mox Emerald | The Foretold Soldier,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.0
