Opponent Decklist,Result
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,-1.0
Augur of Skulls | Mishra's Factory | Mox Jet,-0.5
Bayou | Scythe Tiger | Thoughtseize,1.0
Bitterblossom | Feed the Swarm | Peat Bog,1.0
Bitterblossom | Peat Bog | Smallpox,-0.5
Blightsteel Colossus | Energy Field | Sand Silos,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Bottomless Vault | Ophiomancer | Tithing Blade,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,1.0
Cenn's Tactician | Pick Your Poison | Savannah,1.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Undercity Sewers,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Chronomaton | Crashing Footfalls | Forest,1.0
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,1.0
Dark Depths | Peat Bog | Vampire Hexmage,-0.5
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",0.0
Flash | Saprazzan Skerry | Worldspine Wurm,0.0
Gifted Aetherborn | Peat Bog | Sinkhole,-1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Mindlash Sliver | Subterranean Hangar | Tithing Blade,1.0
Reality Shift | Saprazzan Skerry | Watcher of Hours,-1.0
Alpine Moon | Sacred Cat | Undiscovered Paradise,-1.0
Ancient Tomb | Field of Ruin | Phyrexian Revoker,-1.0
Ancient Tomb | Hexdrinker | Mox Emerald,1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,1.0
Ancient Tomb | Pithing Needle | Steel Overseer,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bitterblossom | Deep-Cavern Bat | Peat Bog,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Bitterblossom | Mox Jet | Sheltered Valley,-1.0
Chancellor of the Annex | Fountain of Cho | Solitude,0.0
Chancellor of the Annex | Icatian Store | Path to Exile,0.0
Chancellor of the Forge | Foil | Island,1.0
Cleric Class | Icatian Store | Skrelv's Hive,1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",0.0
Demolition Field | Inkmoth Nexus | Mishra's Factory,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Swamp | Thoughtseize,1.0
Mox Jet | Mox Jet | Rishadan Port,1.0
Mox Jet | Nezumi Shortfang | Rishadan Port,-1.0
Alpine Moon | Mountain | Stromkirk Noble,-1.0
Banishing Slash | Remote Farm | Skrelv's Hive,1.0
Bayou | Encroach | Hexdrinker,-1.0
Chancellor of the Forge | Force of Negation | Snapback,-1.0
City of Traitors | Geth's Verdict | Isochron Scepter,-1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Jhoira's Toolbox | Umezawa's Jitte,1.0
City of Traitors | Magus of the Moon | Mox Ruby,-1.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,1.0
City of Traitors | Saprazzan Skerry | Stoic Sphinx,1.0
City of Traitors | Time Vault | Voltaic Servant,-1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",-0.5
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
Fountain of Cho | Path to Exile | Skrelv's Hive,0.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",1.0
Gilded Drake | Teferi's Isle | Tel-Jilad Stylus,1.0
Healer's Hawk | Karakas | Mana Tithe,-1.0
Inkmoth Nexus | Island Sanctuary | Mox Pearl,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mox Pearl | Rishadan Port | Skrelv's Hive,1.0
Path to Exile | Remote Farm | Skrelv's Hive,-1.0
"Sanctum of Stone Fangs | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
