Opponent Decklist,Result
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Damping Sphere | Soldevi Sentry,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Disruptor Flute | Steel Overseer,-0.5
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
Curse of Silence | Karakas | Leyline of Singularity,0.0
Dauthi Voidwalker | Dauthi Voidwalker | Peat Bog,0.0
"Disruptor Flute | Phelia, Exuberant Shepherd | Remote Farm",0.5
Dreadhorde Invasion | Feed the Swarm | Peat Bog,-1.0
Force of Despair | Grief | Memnite,0.0
Force of Despair | The Tabernacle at Pendrell Vale | Unmask,0.0
"Forest | Grist, Voracious Larva | Young Wolf",1.0
Forest | Mutavault | Pithing Needle,1.0
Hickory Woodlot | Lion Umbra | Steel Overseer,1.0
Island | Pact of the Titan | Stifle,1.0
Memnite | Memnite | Memnite,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
Path to Exile | Plains | Student of Warfare,0.0
Peat Bog | Sorin of House Markov | Vicious Rumors,0.5
Saprazzan Cove | Walking Ballista | Web of Inertia,-1.0
Academy Researchers | Lotus Bloom | Octopus Umbra,1.0
"Ajani, Nacatl Pariah | Boros Garrison | Hellion Crucible",0.0
"Ajani, Nacatl Pariah | Curse of Silence | Remote Farm",0.0
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Eldrazi Linebreaker | Simian Spirit Guide,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",0.0
Bottomless Vault | Nether Spirit | Smallpox,0.0
Cavern of Souls | Flare of Malice | Nezumi Linkbreaker,0.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,-1.0
Dark Ritual | Phyrexian Crusader | Swamp,1.0
Forest | Hexdrinker | Hexdrinker,-1.0
Karakas | Ocelot Pride | Path to Exile,-0.5
Mesmeric Fiend | Mox Jet | Rishadan Port,-0.5
Nether Spirit | Simian Spirit Guide | Sonic Seizure,0.0
O-Naginata | Reckless Waif | Sandstone Needle,1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Reinforced Ronin | Storm World | Undiscovered Paradise,1.0
Akoum Warrior | Glimpse of Tomorrow | Pinnacle Monk,1.0
Bandit's Talent | Blinkmoth Nexus | Mox Jet,-1.0
Bandit's Talent | Mox Jet | Mutavault,-1.0
Blazing Hope | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Blazing Rootwalla | Dismember | Mountain,0.0
Bond Beetle | Forest | Mistbreath Elder,1.0
"Boseiju, Who Endures | Dryad Arbor | Grist, Voracious Larva",1.0
Cavern of Souls | Forest | Hexdrinker,1.0
Claws of Gix | Descent into Avernus | Dwarven Hold,1.0
Cruel Sadist | Ebon Stronghold | Mortuary Mire,1.0
Flash | Phyrexian Triniform | Sand Silos,1.0
Flash | Saprazzan Skerry | Woodfall Primus,0.5
Flash | Saprazzan Skerry | Worldspine Wurm,0.0
Heartfire Hero | Leather Armor | Mountain,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,1.0
Kuldotha Rebirth | Leyline of the Meek | Mox Ruby,-1.0
Mana Tithe | Mox Pearl | Restore Balance,0.0
Portable Hole | Restore Balance | Undiscovered Paradise,0.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Ancient Tomb | Time Vault | Voltaic Servant,-0.5
Bitterblossom | Mox Jet | Rishadan Port,-0.5
Bitterblossom | Peat Bog | Thoughtseize,0.0
Blazing Shoal | Chancellor of the Forge | Chancellor of the Forge,1.0
