Opponent Decklist,Result
Alpine Moon | Inkmoth Nexus | Mox Ruby,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Bitterblossom | Desert | Mox Jet,1.0
Bitterblossom | Mox Jet | Rishadan Port,-0.5
Bitterblossom | Peat Bog | Smallpox,0.5
Bitterblossom | Peat Bog | Thoughtseize,0.5
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cavern of Souls | Glissa Sunslayer | Peat Bog,0.0
Chancellor of the Annex | Fountain of Cho | Get Lost,1.0
Chancellor of the Annex | Fountain of Cho | Leyline of Sanctity,1.0
Cleansing Wildfire | Den of the Bugbear | Molten Slagheap,0.0
Cleansing Wildfire | Mox Ruby | Mutavault,-1.0
Dark Depths | Lotus Bloom | Solemnity,1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",0.0
"Dark Ritual | Drana, Liberator of Malakir | Shizo, Death's Storehouse",-1.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,-1.0
Dryad Arbor | Force of Despair | Grief,-1.0
"Energy Field | Jace, Wielder of Mysteries | Sand Silos",1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,1.0
