Opponent Decklist,Result
Academy Researchers | Eldrazi Conscription | Lotus Bloom,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Alpine Moon | Hexdrinker | Undiscovered Paradise,0.0
Ancient Den | Dusk Rose Reliquary | Glint Hawk,0.5
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",1.0
Ancient Tomb | Isochron Scepter | Lazotep Plating,1.0
Ancient Tomb | Isochron Scepter | Verdant Command,0.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,0.0
Ancient Tomb | Mox Ruby | Urabrask's Forge,0.0
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,-0.5
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",0.5
Archon of Cruelty | Lotus Bloom | Show and Tell,1.0
Awakening Zone | Hollow Trees | World Breaker,0.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bayou | Cabal Therapist | Hexdrinker,-1.0
Bayou | Hexdrinker | Inquisition of Kozilek,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Blighted Agent | Bubble Snare | Svyelunite Temple,1.0
Blightsteel Colossus | Dwarven Hold | Sneak Attack,-1.0
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,-0.5
Boros Garrison | Ensnaring Bridge | Keldon Megaliths,1.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,0.0
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",-1.0
Brain Maggot | Mox Jet | Rishadan Port,0.0
Cavern of Souls | Hexdrinker | Mana Crypt,-1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,-1.0
Chancellor of the Forge | Contagion | Unmask,0.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Force of Despair | Unmask,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Chancellor of the Forge | Mental Misstep | Wasteland,0.0
Chancellor of the Forge | Pyrokinesis | Wasteland,1.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,1.0
Chancellor of the Forge | Vexing Bauble | Wasteland,1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",1.0
Crawling Chorus | Plains | Unwanted Remake,0.5
Crystal Vein | Hickory Woodlot | Nullhide Ferox,1.0
Crystal Vein | Lodestone Golem | Mana Vault,0.0
Crystal Vein | Mox Jet | Unstoppable Slasher,0.0
Curse of Silence | Hexdrinker | Undiscovered Paradise,-1.0
"Daretti, Ingenious Iconoclast | Generous Plunderer | Sandstone Needle",1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",0.0
Dark Ritual | Iridescent Vinelasher | Undiscovered Paradise,0.0
Dark Ritual | Rotting Regisaur | Swamp,0.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Darksteel Citadel | Mox Sapphire | Rise and Shine,0.0
Darksteel Relic | Ensoul Artifact | Saprazzan Skerry,1.0
Daze | Hexdrinker | Tropical Island,-0.5
Daze | Island | Sleep-Cursed Faerie,0.0
"Diamond Lion | Ebondeath, Dracolich | Subterranean Hangar",-0.5
Dismember | Dryad Arbor | Wasteland,1.0
Dismember | Hollow Trees | Quagnoth,-1.0
Divine Gambit | Prairie Dog | Remote Farm,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Drowner of Truth | Mox Sapphire | Teferi's Time Twist,1.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Hollow Trees | Nullhide Ferox,-1.0
Dusk Rose Reliquary | Thornglint Bridge | Young Wolf,1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
Fear of Lost Teeth | Mox Jet | Wasteland,1.0
Foil | Island | Wasteland,1.0
Forest | Hexdrinker | Mental Misstep,-0.5
Forest | Hexdrinker | Nullhide Ferox,0.0
Forest | Hexdrinker | Pick Your Poison,-0.5
Forest | Hexdrinker | Wasteland,-1.0
Forest | Old-Growth Dryads | Old-Growth Dryads,0.0
Fountain of Cho | Gideon of the Trials | The Tabernacle at Pendrell Vale,1.0
Freed from the Real | Hickory Woodlot | Twitching Doll,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",1.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,1.0
Gleeful Demolition | Memnite | Mountain,0.5
Glint Hawk | Glint Hawk | Mox Pearl,0.5
Hammerheim | Heartfire Hero | Kumano Faces Kakkazan,0.0
Haywire Mite | Thornglint Bridge | Unwanted Remake,1.0
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,-1.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
Hexdrinker | Snow-Covered Forest | Wasteland,-1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Hope of Ghirapur | Wasteland | Welding Jar,1.0
Icatian Store | Runed Halo | Solitude,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.5
Island | Sea's Claim | Sleep-Cursed Faerie,0.5
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,0.0
Island | Sleep-Cursed Faerie | Unable to Scream,0.5
Island | Sleep-Cursed Faerie | Wasteland,0.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
Lake of the Dead | Leveler | Swamp,1.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,-1.0
Lodestone Golem | Planar Nexus | Urza's Tower,1.0
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison,1.0
Mana Tithe | Plains | Speaker of the Heavens,1.0
Memnite | Snow-Covered Swamp | Specter's Shriek,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mishra's Factory | Mox Pearl | Prairie Dog,0.0
Mishra's Factory | Sol Ring | Sphere of Resistance,0.0
Mountain | Nether Spirit | Sonic Seizure,0.5
Mox Emerald | Outland Liberator | Wasteland,0.5
Mox Jet | Nezumi Shortfang | Wasteland,0.0
Mox Pearl | Mutavault | Skrelv's Hive,0.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,0.5
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,0.0
