,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Field of Ruin | Phyrexian Revoker,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,0.0
Angel of Sanctions | Icatian Store | Solitude,0.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Calciform Pools | Mirrex | Soul Partition,0.0
Crystal Vein | Magus of the Moon | Mox Ruby,1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",-1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Idol of False Gods | Mishra's Foundry | Sol Ring,0.0
Island | Mental Misstep | Sleep-Cursed Faerie,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Mishra's Factory | Mox Pearl | Soul Partition,-1.0
Plains | Student of Warfare | Unwanted Remake,-1.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
