Opponent Decklist,Result
Acquisitions Expert | Blinkmoth Nexus | Mox Jet,1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",0.0
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",-0.5
Ancient Tomb | Drillworks Mole | Sphere of Resistance,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Archangel Elspeth | Icatian Store | Island Sanctuary,1.0
Azure Beastbinder | Azure Beastbinder | Saprazzan Skerry,1.0
Bazaar of Baghdad | Subterranean Hangar | Vengeful Pharaoh,1.0
Blooming Marsh | Hexdrinker | Inquisition of Kozilek,0.0
Boros Garrison | Borrowed Time | Keldon Megaliths,1.0
Cathar Commando | Icatian Store | Sunfall,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Mystic Sanctuary,1.0
Cruelclaw's Heist | Dreadship Reef | Mox Jet,0.0
Crystal Vein | Crystal Vein | Eater of Days,-1.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Dismember | Hammerheim | Heartfire Hero,-1.0
Fury Charm | Gargadon | Sandstone Needle,0.0
"Luminarch Aspirant | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Memnite | Memnite | Memnite,1.0
Restore Balance | Shivan Sand-Mage | Undiscovered Paradise,1.0
