Opponent Decklist,Result
Alpine Moon | Mountain | Stromkirk Noble,0.5
Bayou | Hexdrinker | Thoughtseize,-1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Magus of the Moon | Mox Ruby,-1.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Dryad Arbor | Force of Despair | Grief,-1.0
Encroach | Leyline of Anticipation | Lotus Petal,0.0
Mox Pearl | Rishadan Port | Skrelv's Hive,-0.5
"Phelia, Exuberant Shepherd | Portable Hole | Remote Farm",-1.0
Remote Farm | Skrelv's Hive | White Orchid Phantom,-1.0
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",-0.5
Alpine Moon | Inkmoth Nexus | Mountain,0.0
Angel of Sanctions | Icatian Store | Solitude,0.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Icehide Golem | Snow-Covered Island,-1.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Forest | Hexdrinker | Mental Misstep,1.0
Forest | Llanowar Mentor | Vigor,1.0
Gleeful Demolition | Mountain | Voldaren Epicure,1.0
Inkmoth Nexus | Ruins of Oran-Rief | The Filigree Sylex,0.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Mox Emerald | Outland Liberator | Rishadan Port,-1.0
Nix | Ocelot Pride | Tundra,1.0
Ocelot Pride | Ocelot Pride | Plains,1.0
Ocelot Pride | Scrubland | Thoughtseize,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Radiant Solar | Reanimate | Scrubland,1.0
