Opponent Decklist,Result
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Blazing Rootwalla | Foil | Volcanic Island,0.0
Bottomless Vault | Hopeless Nightmare | Murderous Rider,0.0
Bottomless Vault | Inkmoth Nexus | Murderous Rider,0.0
Bronzehide Lion | Forest | Plains,1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Tangle | Force of Vigor | Hope of Ghirapur,1.0
Chaplain of Alms | Gut Shot | Karakas,1.0
Cleansing Wildfire | Den of the Bugbear | Molten Slagheap,0.0
Collective Brutality | Nether Spirit | Peat Bog,-1.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Island | Stonecoil Serpent,-1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-0.5
Dryad Arbor | Gaea's Cradle | Hexdrinker,0.0
"Fountain of Cho | Path to Exile | Ulamog, the Infinite Gyre",-1.0
Gargadon | Gargadon | Sandstone Needle,-0.5
Healer's Hawk | Razorverge Thicket | Wall of Vines,-0.5
Invasion of Gobakhan | Mox Pearl | Mutavault,-1.0
"Karakas | Mox Ruby | Yidaro, Wandering Monster",1.0
Lightning Bolt | Mountain | Soul-Scar Mage,0.0
"Llanowar Mentor | Pendelhaven | Ulamog, the Infinite Gyre",-1.0
Llanowar Reborn | Llanowar Reborn | Scythe Tiger,0.0
Memnite | Memnite | Memnite,0.0
Reinforced Ronin | Storm World | Undiscovered Paradise,0.0
Abiding Grace | Gingerbrute | Icatian Store,0.0
Alpine Moon | Cenn's Tactician | Plateau,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
"Brazen Borrower | Jace, Wielder of Mysteries | Sand Silos",0.0
Chancellor of the Annex | Chancellor of the Forge | Karakas,-1.0
Chancellor of the Annex | Dryad Arbor | Shining Shoal,-1.0
Chancellor of the Annex | Fleeting Spirit | Fountain of Cho,-1.0
Chancellor of the Annex | Icatian Store | March of Otherworldly Light,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Dark Depths | Peat Bog | Vampire Hexmage,0.0
Daze | Inkmoth Nexus | Island,-1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Greater Gargadon | Plateau | Restore Balance,-0.5
"Portable Hole | Remote Farm | Thalia, Guardian of Thraben",-0.5
Riftwing Cloudskate | Saprazzan Skerry | Watcher of Hours,-0.5
