Opponent Decklist,Result
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,1.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,1.0
Ancient Tomb | Goblin Rabblemaster | Mox Ruby,1.0
Assassin's Trophy | Dryad Arbor | Volatile Fault,1.0
Bottomless Vault | Dino DNA | Gingerbrute,1.0
Cavern of Souls | Glittering Lynx | Scythe Tiger,0.5
Cenn's Tactician | Path to Exile | Plains,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Fountain of Cho | Gideon of the Trials,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Claim | Judge's Familiar | Scrubland,1.0
"Contested Game Ball | Icatian Store | Tomorrow, Azami's Familiar",1.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,-1.0
Foil | Island | The Tabernacle at Pendrell Vale,1.0
Force of Despair | Grief | Memnite,1.0
Forest | Haywire Mite | Swarm Shambler,1.0
Guul Draz Assassin | Karakas | Swamp,0.0
Island Sanctuary | Mox Pearl | Volatile Fault,0.0
Karakas | Mana Tithe | Path to Exile,0.0
Karakas | Mox Pearl | Skrelv's Hive,-1.0
Nether Spirit | Simian Spirit Guide | Sonic Seizure,1.0
"Aether Vial | Anim Pakal, Thousandth Moon | Pendelhaven",1.0
Ancient Tomb | Dark Depths | Thespian's Stage,-1.0
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,1.0
Ancient Tomb | Noxious Revival | Porcelain Legionnaire,1.0
Archon of Absolution | Cloudchaser Kestrel | Icatian Store,1.0
Bayou | Cabal Therapy | Swarm Shambler,-1.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Bitterblossom | Peat Bog | Smallpox,-1.0
Blazing Shoal | Chancellor of the Forge | Mercadian Bazaar,1.0
Bloodhall Ooze | Swarm Shambler | Taiga,1.0
Castle Ardenvale | Icatian Store | Path to Exile,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Dwarven Hold | Wild Magic Surge,-1.0
Chronomaton | Funeral Charm | Snow-Covered Swamp,0.0
Commandeer | Mental Misstep | Misdirection,1.0
Crack the Earth | Crashing Footfalls | Undiscovered Paradise,-1.0
Crashing Footfalls | Detention Vortex | Razorverge Thicket,-1.0
Crashing Footfalls | Forest | Swarm Shambler,-1.0
Crashing Footfalls | Path to Exile | Savannah,-1.0
Crashing Footfalls | Path to Exile | Undiscovered Paradise,-1.0
Crystal Vein | Magus of the Moon | Mox Ruby,1.0
Deep-Cavern Bat | Mox Jet | Mutavault,-1.0
"Drop of Honey | Hollow Trees | Nissa, Ascended Animist",-1.0
Dwarven Hold | Hammer of Bogardan | Maze of Ith,-1.0
"Elspeth, Sun's Champion | Icatian Store | Maze of Ith",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Field of Ruin | Mishra's Factory | Mox Jet,-1.0
"Forest | Llanowar Mentor | Ulamog, the Infinite Gyre",1.0
Grove of the Burnwillows | Punishing Fire | Rishadan Port,0.5
Hollow Trees | Nullhide Ferox | Song of the Dryads,-1.0
Hollow Trees | Subterranean Hangar | Vraska the Unseen,-1.0
Icatian Store | Leyline of Sanctity | Opalescence,1.0
Inkmoth Nexus | Karakas | Soul Partition,-1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
Memnite | Memnite | Memnite,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mutavault | Retrofitter Foundry | Sol Ring,-1.0
Ornithopter | Retrofitter Foundry | Tolarian Academy,-1.0
Phyrexian Dreadnought | Sand Silos | Stifle,-1.0
Piracy Charm | Swarm Shambler | Tropical Island,0.0
Pithing Needle | Retrofitter Foundry | Tolarian Academy,1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Aether Vial | Chancellor of the Annex | Mutavault,0.0
Angel of Sanctions | Chancellor of the Annex | Icatian Store,-1.0
"Atraxa, Grand Unifier | Saprazzan Cove | Volrath's Shapeshifter",-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Bitterblossom | Peat Bog | Thoughtseize,-1.0
Blinkmoth Nexus | Imaginary Pet | Mox Sapphire,1.0
Cavern of Souls | Inkmoth Nexus | Tidal Warrior,-1.0
Chancellor of the Annex | Chancellor of the Forge | Solitude,1.0
Chancellor of the Annex | Fountain of Cho | Mental Misstep,1.0
Chancellor of the Annex | Icatian Store | Solitude,-1.0
"Crystal Vein | Jace, Wielder of Mysteries | Lotus Bloom",-1.0
"Energy Field | Jace, Wielder of Mysteries | Sand Silos",-1.0
Fountain of Cho | Get Lost | Increasing Devotion,-1.0
Hollow Trees | Pick Your Poison | Primordial Hydra,-1.0
Mountain | Raze | Wayward Guide-Beast,0.0
Nether Spirit | Peat Bog | Smallpox,0.0
Ancient Tomb | Elixir of Immortality | Urza's Saga,-1.0
Bayou | Mind Swords | Young Wolf,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Cenn's Tactician | Curse of Silence | Karakas,0.0
Chronomaton | Encroach | Swamp,0.5
City of Traitors | Forest | Hexdrinker,1.0
City of Traitors | Geth's Verdict | Isochron Scepter,-1.0
City of Traitors | Isochron Scepter | Selesnya Charm,-1.0
City of Traitors | Power Conduit | Urza's Saga,-1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
Energy Field | Leyline of Sanctity | Sand Silos,0.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,-1.0
Ensnaring Bridge | Mishra's Workshop | The Rack,0.0
Forest | Mind Swords | Young Wolf,1.0
"Gisa's Bidding | Lion's Eye Diamond | Ulamog, the Infinite Gyre",-1.0
Hollow Trees | Leyline of Lifeforce | Toadstool Admirer,1.0
Icatian Store | Near-Death Experience | Phyrexian Processor,1.0
Kaldra Compleat | Remote Farm | Stoneforge Mystic,1.0
Karakas | Mutavault | Swift Reconfiguration,-1.0
Lion's Eye Diamond | Necrogoyf | Vengeful Pharaoh,0.0
Mind Swords | Mishra's Factory | Mox Jet,0.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.0
Alpine Moon | Slippery Bogle | Taiga,-1.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,1.0
Approach of the Second Sun | Fountain of Cho | Island Sanctuary,-1.0
Assassin's Trophy | Geothermal Crevice | The Tabernacle at Pendrell Vale,0.0
Bayou | Hexdrinker | Snuff Out,1.0
Bloodforged Battle-Axe | Fervent Champion | Sandstone Needle,1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Chalice of the Void | City of Traitors | Phyrexian Revoker,1.0
City of Traitors | Eldrazi Displacer | Mox Pearl,1.0
City of Traitors | Mountain | Stingerback Terror,-1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",-1.0
"Goblin Lackey | Krenko, Mob Boss | Mountain",1.0
"Hymn to Tourach | Mishra's Factory | Urborg, Tomb of Yawgmoth",0.0
Inkmoth Nexus | Inkmoth Nexus | Sol Ring,-1.0
Inkmoth Nexus | Mox Pearl | Path to Exile,-1.0
Keldon Megaliths | Keldon Megaliths | Keldon Megaliths,1.0
Plains | Porphyry Nodes | Restore Balance,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Remote Farm | Steel Overseer | Steel Overseer,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Auriok Transfixer | Plains | Swift Reconfiguration,1.0
Beloved Chaplain | Parting Gust | Remote Farm,0.0
Blast Zone | Fungal Reaches | Idol of False Gods,-1.0
Chaplain of Alms | Oppressive Rays | Valgavoth's Lair,1.0
Dark Ritual | Gelatinous Cube | Peat Bog,1.0
Dark Ritual | Mox Jet | Unstoppable Slasher,-1.0
Dismember | Dryad Arbor | Mistbreath Elder,1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Guul Draz Assassin | Mishra's Factory | Mox Jet,0.0
Haywire Mite | Pendelhaven | The Tabernacle at Pendrell Vale,1.0
Hinterland Sanctifier | Karakas | Leyline of Singularity,1.0
Life of Toshiro Umezawa | Mire in Misery | Peat Bog,1.0
Mountain | Seal of Fire | Tel-Jilad Stylus,1.0
Murderous Rider | Paralyze | Subterranean Hangar,-1.0
Peat Bog | Putrid Goblin | Smallpox,0.0
Reanimate | Striped Riverwinder | Underground Sea,-1.0
Remote Farm | Remote Farm | The Wandering Emperor,-1.0
