Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Alpine Moon | Gleeful Demolition | Great Furnace,0.0
Alpine Moon | Ocelot Pride | Plateau,0.0
Alpine Moon | Thornscape Apprentice | Undiscovered Paradise,0.0
Arena of Glory | Genesis Chamber | Norin the Wary,1.0
City of Traitors | Cryptic Trilobite | Disruptor Flute,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-1.0
City of Traitors | Mana Crypt | Thought-Knot Seer,1.0
City of Traitors | Mox Pearl | Peacekeeper,1.0
Crawling Chorus | Plains | Portable Hole,-1.0
Disruptor Flute | Inkmoth Nexus | Mox Jet,-1.0
Dreadhorde Invasion | March from the Black Gate | Peat Bog,-1.0
Drowner of Truth | Flickerwisp | Remote Farm,-1.0
Encroach | Flailing Soldier | Undiscovered Paradise,0.0
Forced Adaptation | Forest | Slippery Bogle,1.0
Healer's Hawk | Karakas | Path to Exile,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
Karakas | Ocelot Pride | Sheltered Valley,0.0
Mindleech Ghoul | Mox Jet | Unholy Grotto,-0.5
Raze | Sleep-Cursed Faerie | Volcanic Island,-0.5
Remote Farm | Soul Partition | White Orchid Phantom,0.0
