Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Cobbled Lancer,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Elixir of Immortality | Warping Wail,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,0.0
Ancient Tomb | Mox Jet | Rotting Regisaur,0.5
Ancient Tomb | Steel Overseer | Steel Overseer,0.0
Arden Angel | Arden Angel | Bazaar of Baghdad,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
Bottomless Vault | Lab Rats | Thoughtseize,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Dismember | Hollow Trees | Quagnoth,0.0
Glistener Elf | Taiga | Taste for Mayhem,0.5
"Island Sanctuary | Mikaeus, the Lunarch | Remote Farm",0.5
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Living Conundrum | Maze of Ith | Sand Silos,-0.5
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",0.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,0.5
