Opponent Decklist,Result
Archfiend of Spite | Lion's Eye Diamond | Lion's Eye Diamond,0.0
Blazing Rootwalla | Burning Inquiry | Mountain,-0.5
Blooming Marsh | Serene Remembrance | Vicious Rumors,-1.0
Burning Inquiry | Leyline of Anticipation | Simian Spirit Guide,0.0
Cabal Therapy | Lingering Souls | Lion's Eye Diamond,-0.5
Cenn's Tactician | Curse of Silence | Plains,-0.5
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Dryad Arbor | Pyrokinesis,0.0
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Magus of the Moon | Mox Ruby,0.0
City of Traitors | Phyrexian Revoker | Wasteland,-0.5
Cruel Reality | Lotus Bloom | Show and Tell,-1.0
Crystalline Giant | Mishra's Workshop | Trinisphere,-0.5
"Daretti, Ingenious Iconoclast | Interplanar Beacon | Mana Crypt",0.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,0.0
"Dryad Arbor | Oko, Thief of Crowns | Simic Growth Chamber",0.0
Force of Negation | Karakas | Leyline of Singularity,0.0
Forest | Nature's Claim | Swarm Shambler,-1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Island | Mental Misstep | Sleep-Cursed Faerie,0.0
Karakas | Mana Tithe | Student of Warfare,0.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,0.0
