Opponent Decklist,Result
Black Lotus | Channel | Karn Liberated,-1.0
"Black Lotus | Channel | Ulamog, the Infinite Gyre",-1.0
Black Lotus | Gideon of the Trials | Pact of Negation,-1.0
"Black Lotus | Leonin Squire | Tourach, Dread Cantor",-1.0
Black Lotus | Mayor of Avabruck | Mental Misstep,0.0
Blackmail | Death's Shadow | Tarnished Citadel,-1.0
Chalice of the Void | City of Traitors | Lupine Prototype,0.0
Chalice of the Void | City of Traitors | Phyrexian Revoker,0.0
Chancellor of the Forge | Chancellor of the Forge | Leyline of the Meek,1.0
Chancellor of the Forge | Contagion | Unmask,-1.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Dark Depths | Thespian's Stage,1.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,0.0
City of Traitors | Retrofitter Foundry | Sphere of Resistance,-1.0
Daze | Hexdrinker | Tropical Island,-1.0
"Forced Adaptation | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Aether Vial | Chancellor of the Tangle | Endurance,1.0
Alpine Moon | Goblin Vandal | Mountain,-1.0
Ancient Tomb | Hangarback Walker | Warping Wail,1.0
Ancient Tomb | Steel Golem | Warping Wail,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Bitterblossom | Mishra's Factory | Mox Jet,1.0
Bloodghast | Bone Shards | Undiscovered Paradise,0.0
Bottomless Vault | Murderous Rider | Noxious Revival,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
Chain of Smog | Mishra's Factory | Mox Jet,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Forge | Karakas | Mana Tithe,-1.0
Chancellor of the Forge | Path to Exile | Plains,0.0
Chronomaton | Dismember | Quicksand,0.0
Crashing Footfalls | Dryad Arbor | Dryad Arbor,1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Fearless Fledgling | Ghost Town | Mox Pearl,1.0
Foil | Island | Nether Spirit,0.0
Great Hall of Starnheim | Mount Doom | Sunken Citadel,0.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,1.0
Ancient Tomb | Archfiend of Spite | Diamond Lion,1.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,0.0
Approach of the Second Sun | Fountain of Cho | Swords to Plowshares,-1.0
Battlefield Raptor | Karakas | Leyline of Sanctity,1.0
Bayou | Evil Presence | Swarm Shambler,-1.0
Bayou | Funeral Charm | Swarm Shambler,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-0.5
Cabal Therapy | Piracy Charm | Underground Sea,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Foil | Snow-Covered Island,-1.0
"Channel | Emrakul, the Aeons Torn | Hickory Woodlot",-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Chronosavant | Icatian Store | Seasoned Hallowblade,1.0
Crashing Footfalls | Path to Exile | Savannah,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Dryad Arbor | Dryad Arbor | Lush Growth,-0.5
Energy Field | Saprazzan Skerry | The Millennium Calendar,1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-0.5
Funeral Charm | Rimebound Dead | Snow-Covered Swamp,-1.0
"Fynn, the Fangbearer | Hickory Woodlot | Outland Liberator",-1.0
Hexdrinker | Icehide Golem | Snow-Covered Forest,1.0
"Hunted Horror | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",0.0
Island | Mishra's Factory | Sleep-Cursed Faerie,1.0
Karakas | Mox Pearl | Skrelv's Hive,1.0
"Lair of the Hydra | Llanowar Mentor | Ulamog, the Infinite Gyre",1.0
"Smallpox | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",0.0
