Opponent Decklist,Result
Ancient Tomb | Lupine Prototype | Urza's Saga,0.0
Ancient Tomb | Urza's Saga | Void Mirror,-0.5
Anointed Peacekeeper | Black Lotus | Leyline of Sanctity,-0.5
Ash Zealot | Black Lotus | Built to Smash,0.0
Black Lotus | Cabal Therapy | Epochrasite,-0.5
Black Lotus | Gideon of the Trials | Icatian Store,0.0
Black Lotus | Karakas | Serra the Benevolent,0.0
"Black Lotus | Lurrus of the Dream-Den | Omnath, Locus of Mana",0.0
Blackmail | Swamp | The Rack,-1.0
Blazing Rootwalla | Burning Inquiry | Mountain,-0.5
Cavern of Souls | Dismember | Hexdrinker,0.0
Cavern of Souls | Hexdrinker | Mental Misstep,0.0
Chancellor of the Forge | Force of Negation | Snapback,0.0
Chancellor of the Forge | In Too Deep | Sand Silos,0.0
"City of Traitors | Hickory Woodlot | Thrun, the Last Troll",0.0
City of Traitors | Isochron Scepter | Lightning Helix,-1.0
City of Traitors | Phyrexian Revoker | Ratchet Bomb,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Death's Shadow | Path to Exile | Tarnished Citadel,0.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",0.0
Hollow Trees | Hollow Trees | Mistcutter Hydra,0.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,0.0
Anointed Peacekeeper | Black Lotus | Leyline of Anticipation,-0.5
Archon of Cruelty | Black Lotus | Show and Tell,0.0
"Black Lotus | Boromir, Warden of the Tower | Leyline of Anticipation",0.0
Black Lotus | Collector Ouphe | Wasteland,0.0
Black Lotus | Elite Spellbinder | Leyline of Anticipation,-0.5
Black Lotus | Gideon of the Trials | Pact of Negation,-0.5
Black Lotus | Induced Amnesia | Leyline of Anticipation,0.0
Cavern of Souls | Hexdrinker | The Tabernacle at Pendrell Vale,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chalice of the Void | Chronomaton | Wasteland,0.0
Chancellor of the Forge | Force of Will | Snapback,0.0
Chancellor of the Spires | Force of Will | Memnite,0.0
City of Traitors | Dark Depths | Thespian's Stage,0.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,0.0
Dryad Arbor | Force of Will | Slippery Bogle,0.0
Force of Will | Memnite | Storm Crow,0.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,0.0
Ancient Tomb | Elixir of Immortality | Urza's Saga,0.0
Bayou | Mind Swords | Young Wolf,-0.5
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.0
Cenn's Tactician | Curse of Silence | Karakas,0.0
Chronomaton | Encroach | Swamp,-0.5
City of Traitors | Forest | Hexdrinker,0.0
City of Traitors | Geth's Verdict | Isochron Scepter,0.0
City of Traitors | Isochron Scepter | Selesnya Charm,0.0
City of Traitors | Power Conduit | Urza's Saga,0.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",0.0
"Dwarven Hold | Fury | Squee, the Immortal",0.0
Energy Field | Leyline of Sanctity | Sand Silos,0.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,0.0
Forest | Mind Swords | Young Wolf,0.0
"Gisa's Bidding | Lion's Eye Diamond | Ulamog, the Infinite Gyre",0.0
Hollow Trees | Leyline of Lifeforce | Toadstool Admirer,0.0
Icatian Store | Near-Death Experience | Phyrexian Processor,0.0
Kaldra Compleat | Remote Farm | Stoneforge Mystic,0.0
Karakas | Mutavault | Swift Reconfiguration,0.0
Lion's Eye Diamond | Necrogoyf | Vengeful Pharaoh,0.0
Mind Swords | Mishra's Factory | Mox Jet,-0.5
