Opponent Decklist,Result
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Cenn's Tactician | Sea's Claim | Undiscovered Paradise,1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,1.0
Hexdrinker | Path to Exile | Undiscovered Paradise,-1.0
"Island Sanctuary | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Mox Emerald | Outland Liberator | Rishadan Port,-1.0
Mox Sapphire | Rishadan Port | Volatile Stormdrake,0.0
Ocelot Pride | Path to Exile | Plains,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
