Opponent Decklist,Result
Agent of Treachery | Flash | Saprazzan Skerry,0.0
Badlands | Encroach | Stromkirk Noble,0.0
Cavern of Souls | Flare of Malice | Nezumi Linkbreaker,1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Memnite,1.0
City of Traitors | Disruptor Flute | Steel Overseer,-1.0
City of Traitors | Field of Ruin | Phyrexian Revoker,-1.0
City of Traitors | Isochron Scepter | Verdant Command,-1.0
Cranial Ram | Generous Plunderer | Sandstone Needle,1.0
Disruptor Flute | Remote Farm | White Orchid Phantom,0.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",-1.0
Flash | Hornet Queen | Saprazzan Skerry,-1.0
Flash | Saprazzan Cove | Worldspine Wurm,-1.0
Force Spike | Island | Memnite,1.0
"Fountain of Cho | Island Sanctuary | Ulamog, the Infinite Gyre",-1.0
Karakas | Ocelot Pride | Path to Exile,0.5
Ocelot Pride | Scrubland | Thoughtseize,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Platinum Emperion | Sand Silos | Show and Tell,0.0
Akoum Warrior | Glimpse of Tomorrow | Pinnacle Monk,1.0
Bandit's Talent | Blinkmoth Nexus | Mox Jet,-1.0
Bandit's Talent | Mox Jet | Mutavault,-1.0
Blazing Hope | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
Blazing Rootwalla | Dismember | Mountain,1.0
Bond Beetle | Forest | Mistbreath Elder,-1.0
"Boseiju, Who Endures | Dryad Arbor | Grist, Voracious Larva",-1.0
Cavern of Souls | Forest | Hexdrinker,-1.0
Claws of Gix | Descent into Avernus | Dwarven Hold,1.0
Cruel Sadist | Ebon Stronghold | Mortuary Mire,1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,-1.0
Flash | Saprazzan Skerry | Woodfall Primus,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Heartfire Hero | Leather Armor | Mountain,-1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,-1.0
Kuldotha Rebirth | Leyline of the Meek | Mox Ruby,1.0
Mana Tithe | Mox Pearl | Restore Balance,0.0
Memnite | Memnite | Memnite,1.0
Portable Hole | Restore Balance | Undiscovered Paradise,0.5
