Opponent Decklist,Result
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Isochron Scepter | Selesnya Charm,0.0
Ancient Tomb | Mox Emerald | Words of Wilding,-1.0
Augur of Skulls | Blinkmoth Nexus | Mox Jet,1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
"Cavern of Souls | Isamaru, Hound of Konda | Selfless Savior",0.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Daze | Hexdrinker | Tropical Island,0.0
Daze | Island | Rishadan Dockhand,0.0
Desert | Mishra's Factory | The Tabernacle at Pendrell Vale,-1.0
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Hexdrinker | Pick Your Poison,0.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Fungal Reaches | Lair of the Hydra | Treasonous Ogre,0.0
Keldon Megaliths | Sunken Citadel | The Tabernacle at Pendrell Vale,1.0
Llanowar Mentor | Pendelhaven | Vigor,-1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,0.0
Mishra's Factory | Mox Pearl | Prairie Dog,-1.0
Mishra's Factory | Mox Sapphire | Volatile Stormdrake,0.0
