Opponent Decklist,Result
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Damping Sphere | Soldevi Sentry,1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-0.5
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
Curse of Silence | Karakas | Leyline of Singularity,0.0
Dauthi Voidwalker | Dauthi Voidwalker | Peat Bog,-1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,-1.0
"Disruptor Flute | Phelia, Exuberant Shepherd | Remote Farm",-0.5
Dreadhorde Invasion | Feed the Swarm | Peat Bog,-1.0
Force of Despair | Grief | Memnite,1.0
Force of Despair | The Tabernacle at Pendrell Vale | Unmask,1.0
Forest | Mutavault | Pithing Needle,1.0
Hickory Woodlot | Lion Umbra | Steel Overseer,0.0
Island | Pact of the Titan | Stifle,1.0
Memnite | Memnite | Memnite,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-0.5
Path to Exile | Plains | Student of Warfare,-1.0
Peat Bog | Sorin of House Markov | Vicious Rumors,0.5
Saprazzan Cove | Walking Ballista | Web of Inertia,-1.0
Aether Vial | Chancellor of the Tangle | Sanctifier En-Vec,0.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Hex Parasite | Phyrexian Revoker,1.0
Ancient Tomb | Hex Parasite | Sphere of Resistance,0.0
Ancient Tomb | Mossborn Hydra | Undiscovered Paradise,-1.0
Artifact Blast | Dryad Arbor | Simian Spirit Guide,1.0
Artificial Evolution | Dragon Hunter | Undiscovered Paradise,0.0
Badlands | Bloodhall Ooze | Infestation Sage,0.5
Badlands | Crack the Earth | Innocent Blood,1.0
"Blinkmoth Nexus | Hymn to Tourach | Urborg, Tomb of Yawgmoth",1.0
Bottomless Vault | Encroach | Tomb of Urami,-1.0
Bottomless Vault | Murderous Rider | Mutavault,-1.0
Consign to Memory | Phyrexian Dreadnought | Saprazzan Skerry,1.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,1.0
Emerge Unscathed | Favored Hoplite | Plains,0.0
Flare of Denial | Island | Sleep-Cursed Faerie,-1.0
Hex Parasite | Mutavault | Swarmyard,0.0
Jagged Barrens | Sarcomancy | Tel-Jilad Stylus,-1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
