Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,1.0
Akroan Crusader | Mark of Fury | Mountain,0.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Damping Sphere | Soldevi Sentry,1.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
"Anim Pakal, Thousandth Moon | Boros Garrison | Hellion Crucible",1.0
Argent Dais | Dryad Arbor | Karakas,1.0
Bilious Skulldweller | Divest | Swamp,0.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,0.5
Bottomless Vault | Murderous Rider | Wasteland,1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,1.0
Chancellor of the Tangle | Gatstaf Shepherd | Wasteland,1.0
Crystal Vein | Lodestone Golem | Mana Vault,1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Daze | Island | Sleep-Cursed Faerie,1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",1.0
Forest | Old-Growth Dryads | Wasteland,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Gravecrawler | Gravecrawler | Swamp,1.0
Hexdrinker | Mox Emerald | Wasteland,-0.5
Hexdrinker | Pick Your Poison | Valgavoth's Lair,1.0
Hope of Ghirapur | Wasteland | Welding Jar,1.0
Into the Flood Maw | Tanglepool Bridge | Wind Zendikon,1.0
Jetmir's Garden | Qasali Ambusher | Wild Nacatl,1.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,1.0
Mana Tithe | Plains | Speaker of the Heavens,1.0
Memnite | Memnite | Memnite,1.0
Memnite | Snow-Covered Swamp | Specter's Shriek,0.0
Mercadian Bazaar | Shivan Devastator | Subterranean Tremors,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mox Jet | Nezumi Shortfang | Wasteland,1.0
Mox Pearl | Mutavault | Skrelv's Hive,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",1.0
Plains | Student of Warfare | Unwanted Remake,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,0.0
