Opponent Decklist,Result
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Blazing Rootwalla | Foil | Volcanic Island,1.0
Bottomless Vault | Hopeless Nightmare | Murderous Rider,1.0
Bottomless Vault | Inkmoth Nexus | Murderous Rider,1.0
Bronzehide Lion | Forest | Plains,1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Tangle | Force of Vigor | Hope of Ghirapur,1.0
Chaplain of Alms | Gut Shot | Karakas,1.0
Cleansing Wildfire | Den of the Bugbear | Molten Slagheap,-1.0
Collective Brutality | Nether Spirit | Peat Bog,0.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Island | Stonecoil Serpent,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Dryad Arbor | Gaea's Cradle | Hexdrinker,0.0
"Dunes of the Dead | Smallpox | Urborg, Tomb of Yawgmoth",1.0
Gargadon | Gargadon | Sandstone Needle,-1.0
Healer's Hawk | Razorverge Thicket | Wall of Vines,1.0
Invasion of Gobakhan | Mox Pearl | Mutavault,-1.0
"Karakas | Mox Ruby | Yidaro, Wandering Monster",1.0
Lightning Bolt | Mountain | Soul-Scar Mage,1.0
"Llanowar Mentor | Pendelhaven | Ulamog, the Infinite Gyre",-1.0
Llanowar Reborn | Llanowar Reborn | Scythe Tiger,-1.0
Memnite | Memnite | Memnite,-1.0
Reinforced Ronin | Storm World | Undiscovered Paradise,-1.0
