Opponent Decklist,Result
Abrade | Sandstone Needle | Vexing Shusher,-1.0
Alpine Moon | Swarm Shambler | Taiga,0.0
Approach of the Second Sun | Fountain of Cho | Path to Exile,-1.0
Balance | Crashing Footfalls | Tinder Farm,-1.0
Balance | Mox Pearl | Mutavault,-1.0
Bayou | Cabal Therapy | Young Wolf,-1.0
Bitterblossom | Ebon Stronghold | Vebulid,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
Chaplain of Alms | Icatian Store | Stroke of Midnight,0.5
City of Traitors | Elixir of Immortality | Lupine Prototype,-1.0
City of Traitors | Time Vault | Voltaic Servant,0.0
Crashing Footfalls | Dryad Arbor | Swarm Shambler,0.5
Crashing Footfalls | Glistener Elf | Pendelhaven,0.0
Crashing Footfalls | Piracy Charm | Tropical Island,-0.5
Crystalline Giant | Lupine Prototype | Mishra's Workshop,-1.0
Ferropede | Meekstone | Mishra's Workshop,0.0
Force of Despair | Memnite | Unmask,0.0
Illusionary Mask | Mishra's Workshop | Phyrexian Dreadnought,1.0
Inkmoth Nexus | Petrified Field | The Tabernacle at Pendrell Vale,-1.0
Invasion of Gobakhan | Mox Pearl | Mutavault,-1.0
Karakas | Leyline of Singularity | Sacred Cat,-1.0
Mind Rake | Mishra's Factory | Mox Jet,-1.0
Reality Shift | Sand Silos | Sphinx of the Final Word,-0.5
Reassembling Skeleton | Shrieking Affliction | Subterranean Hangar,1.0
Sandstone Needle | Steel Overseer | Wild Magic Surge,-0.5
Sandstone Needle | Wild Magic Surge | Wild Magic Surge,0.0
