,Result
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,0.0
Ancient Tomb | Time Vault | Voltaic Servant,0.0
Crawling Chorus | Karakas | Leyline of Singularity,-1.0
Crystal Vein | Overlord of the Mistmoors | Remote Farm,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dark Ritual | Swamp | Vampire Nighthawk,1.0
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,0.0
Eldrazi Ravager | Exhume | Peat Bog,0.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Luminarch Aspirant | Luminarch Aspirant | Remote Farm,0.0
Mox Ruby | Mutavault | Sphere of Resistance,-1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-1.0
Piranha Marsh | Sarcomancy | Tel-Jilad Stylus,-1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
