Opponent Decklist,Result
Alpine Moon | Swarm Shambler | Undiscovered Paradise,-1.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Bayou | Cabal Therapy | Swarm Shambler,-1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Foil | Moonring Island,0.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Chronomaton | Funeral Charm | Snow-Covered Swamp,1.0
Chronomaton | Island | Piracy Charm,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,-1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,1.0
"Isamaru, Hound of Konda | Karakas | Porphyry Nodes",1.0
Karakas | Mana Tithe | Solitude,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mayor of Avabruck | Mox Emerald | Mutavault,0.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,-1.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,1.0
Accursed Marauder | Bottomless Vault | Tithing Blade,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Axebane Ferox | Pick Your Poison | Rushwood Grove,-1.0
Bandit's Talent | Fatal Push | Peat Bog,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",0.5
"Boseiju, Who Endures | Hexdrinker | Sunken Citadel",-0.5
Dakmor Salvage | Ethereal Absolution | Fountain of Cho,1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Dismember | Ocelot Pride | Plains,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,0.0
Forbidden Orchard | Icatian Moneychanger | The Millennium Calendar,1.0
Hexdrinker | Thoughtseize | Undiscovered Paradise,0.0
Hollow Trees | Squirrel Nest | Treetop Village,1.0
Memnite | Mountain | Raze,-1.0
Misdirection | Misthollow Griffin | Sand Silos,1.0
Mishra's Factory | Mox Pearl | Prairie Dog,1.0
"Phelia, Exuberant Shepherd | Remote Farm | Resolute Reinforcements",1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Phyrexian Revoker | Warping Wail,1.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",-1.0
Assassin's Trophy | Chancellor of the Forge | Geothermal Crevice,-0.5
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Curse of Silence | Ocelot Pride | Plains,-1.0
Darksteel Citadel | Ice Floe | The Millennium Calendar,1.0
Daze | Sleep-Cursed Faerie | Volcanic Island,-1.0
Dismember | Hammerheim | Heartfire Hero,1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,1.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
"Ezio Auditore da Firenze | Morophon, the Boundless | Peat Bog",1.0
Fountain of Cho | The Wandering Emperor | Winds of Abandon,1.0
Goblin Guide | Goblin Guide | Mountain,-1.0
"Hollow Trees | Song of the Dryads | Wilson, Refined Grizzly",1.0
Mountain | Nether Spirit | Sonic Seizure,1.0
Ocelot Pride | Ocelot Pride | Plains,-1.0
Phyrexian Processor | Planar Nexus | Urza's Tower,-1.0
