Opponent Decklist,Result
Ancient Ziggurat | Champion of the Parish | Norin the Wary,1.0
Ancient Ziggurat | Galerider Sliver | Virulent Sliver,1.0
Blazing Rootwalla | Burning Inquiry | Mountain,1.0
Cabal Therapy | Nested Shambler | Swamp,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
City of Traitors | Mana Vault | Thought-Knot Seer,1.0
Crack the Earth | Old-Growth Dryads | Taiga,1.0
Cruel Sadist | Shrieking Affliction | Swamp,1.0
Dark Depths | Peat Bog | Vampire Hexmage,1.0
Ghost Quarter | Memnite | Mental Misstep,0.0
Hollow Trees | Shield Sphere | Untamed Kavu,1.0
Inkmoth Nexus | Inkmoth Nexus | Wasteland,-1.0
"Rushwood Grove | Thrun, the Last Troll | Wasteland",1.0
