Opponent Decklist,Result
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.0
Angel of Sanctions | Icatian Store | Solitude,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Cabal Therapy | Chronomaton | Swamp,-1.0
Cathedral of War | Inkmoth Nexus | Noxious Revival,1.0
Cenn's Tactician | Icatian Javelineers | Karakas,1.0
Cenn's Tactician | Icatian Javelineers | Snow-Covered Plains,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Cenn's Tactician | Plains | Portable Hole,-1.0
Chancellor of the Tangle | Crashing Footfalls | Hollow Trees,1.0
Chronomaton | Island | Piracy Charm,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Force of Despair | Grief | Memnite,0.5
In Too Deep | Saprazzan Skerry | Tide Shaper,0.0
Inkmoth Nexus | Noble Hierarch | Pendelhaven,1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,0.0
Mind Rake | Mishra's Factory | Mox Jet,-1.0
"Mox Pearl | Thalia, Guardian of Thraben | Volatile Fault",-1.0
Aether Vial | Chancellor of the Tangle | Krenko's Buzzcrusher,1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,1.0
"Ancient Tomb | Karn, Scion of Urza | Mana Vault",0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Artifact Blast | Chancellor of the Forge | Simian Spirit Guide,1.0
Ayara's Oathsworn | Peat Bog | Sheoldred's Edict,0.0
Bayou | Fume Spitter | Pick Your Poison,-1.0
Bitterblossom | Demon of Death's Gate | Peat Bog,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cenn's Tactician | Encroach | Scrubland,0.0
Chalice of the Void | Mishra's Factory | Sol Ring,-1.0
Deep-Cavern Bat | Peat Bog | Sinkhole,0.0
Desert | Hangarback Walker | Inkmoth Nexus,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
"Energy Field | Saprazzan Cove | Ulamog, the Infinite Gyre",-1.0
Figure of Destiny | Fountain of Cho | Path to Exile,-1.0
"Gor Muldrak, Amphinologist | Inkmoth Nexus | Simic Growth Chamber",-1.0
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,-0.5
Inkmoth Nexus | Skrelv's Hive | Snow-Covered Plains,0.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,-1.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,1.0
