Opponent Decklist,Result
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",1.0
Ancient Tomb | Mox Ruby | Urabrask's Forge,0.0
Awakening Zone | Hollow Trees | World Breaker,1.0
Chancellor of the Forge | Mental Misstep | Wasteland,1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Crystal Vein | Hickory Woodlot | Nullhide Ferox,0.0
Darksteel Citadel | Mox Sapphire | Rise and Shine,0.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Dismember | Hollow Trees | Quagnoth,1.0
Drowner of Truth | Mox Sapphire | Teferi's Time Twist,-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",0.0
Hexdrinker | Snow-Covered Forest | Wasteland,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Island | Sleep-Cursed Faerie | Wasteland,0.0
Lake of the Dead | Leveler | Swamp,1.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,0.0
"Phelia, Exuberant Shepherd | Remote Farm | Unwanted Remake",1.0
Remote Farm | Sheltered by Ghosts | Voice of the Blessed,0.0
Saprazzan Skerry | Silent Hallcreeper | Silent Hallcreeper,1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
Alpine Moon | Copperline Gorge | Hexdrinker,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,0.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
Bandit's Talent | Mox Jet | Mutavault,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,-1.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",0.5
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chaplain of Alms | Karakas | Leyline of Singularity,-1.0
Cruelclaw's Heist | Mox Jet | Swamp,0.5
Daze | Sleep-Cursed Faerie | Volcanic Island,-0.5
Dismember | Hammerheim | Heartfire Hero,-1.0
Hammerheim | Heartfire Hero | Heartfire Hero,0.0
Invasion of Gobakhan | Mishra's Factory | Mox Pearl,0.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Sleep-Cursed Faerie | Thoughtseize | Underground Sea,-0.5
Agent of Treachery | Force of Negation | Sand Silos,0.0
Alpine Moon | Hexdrinker | Taiga,1.0
Ancient Tomb | Dark Depths | Thespian's Stage,-1.0
Blightsteel Colossus | Lotus Bloom | Show and Tell,-1.0
Boros Garrison | Hellion Crucible | Soul Partition,0.0
Bottomless Vault | Plague Engineer | Plague Engineer,1.0
City of Traitors | Dungeon Map | Mox Jet,1.0
City of Traitors | Field of Ruin | Phyrexian Revoker,0.0
City of Traitors | Hex Parasite | Phyrexian Revoker,0.0
City of Traitors | Isochron Scepter | Verdant Command,-1.0
Forest | Glistener Elf | Rancor,1.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Harvester of Misery | Peat Bog | Reanimate,0.0
Hoverstone Pilgrim | Sheoldred's Edict | Subterranean Hangar,1.0
Inkmoth Nexus | Mox Jet | Traumatic Revelation,1.0
Memnite | Mental Misstep | Subtlety,1.0
Mox Pearl | Prairie Dog | Rishadan Port,-1.0
Nested Shambler | Tendrils of Despair | Urborg,1.0
Okiba Reckoner Raid | Swamp | Thoughtseize,0.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
