Opponent Decklist,Result
Ancient Tomb | Field of Ruin | The Tabernacle at Pendrell Vale,1.0
Balance | Black Lotus | Mother of Runes,-1.0
Balance | Black Lotus | The Rack,-1.0
Barbed Wire | Ensnaring Bridge | Mishra's Workshop,-1.0
"Black Lotus | Boseiju, Who Endures | Lodestone Golem",-1.0
Black Lotus | City of Traitors | Stormbreath Dragon,-1.0
Black Lotus | Elite Spellbinder | Oblivion Ring,-1.0
Black Lotus | Empty the Warrens | Samwise the Stouthearted,-1.0
"Black Lotus | Emrakul, the Aeons Torn | Show and Tell",-1.0
Black Lotus | Forbidden Orchard | Questing Beast,-1.0
Black Lotus | True-Name Nemesis | Wastes,1.0
Blackmail | Death's Shadow | Tarnished Citadel,-1.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Carnage Tyrant | Rushwood Grove | The Tabernacle at Pendrell Vale,1.0
"City of Traitors | Hickory Woodlot | Thrun, the Last Troll",0.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,-1.0
City of Traitors | Power Conduit | Urza's Saga,-1.0
Everglades | Spawning Pool | The Tabernacle at Pendrell Vale,1.0
Force of Negation | Maze of Ith | Misdirection,1.0
Force of Negation | Misthollow Griffin | Sand Silos,1.0
Gleeful Demolition | Great Furnace | Noxious Revival,1.0
"Hollow Trees | Maze of Ith | Thrun, the Last Troll",-1.0
Akroan Crusader | Mark of Fury | Mountain,-1.0
Ancient Tomb | Damping Sphere | Soldevi Sentry,1.0
"Anim Pakal, Thousandth Moon | Boros Garrison | Hellion Crucible",-1.0
Argent Dais | Dryad Arbor | Karakas,0.0
Bilious Skulldweller | Divest | Swamp,1.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,-1.0
Bottomless Vault | Murderous Rider | Wasteland,0.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Tangle | Gatstaf Shepherd | Wasteland,1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",0.0
Forest | Hexdrinker | Wasteland,-1.0
Forest | Old-Growth Dryads | Wasteland,1.0
Hexdrinker | Pick Your Poison | Valgavoth's Lair,1.0
Into the Flood Maw | Tanglepool Bridge | Wind Zendikon,1.0
Jetmir's Garden | Qasali Ambusher | Wild Nacatl,-1.0
Memnite | Memnite | Memnite,1.0
Mercadian Bazaar | Shivan Devastator | Subterranean Tremors,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mox Jet | Nezumi Shortfang | Wasteland,-1.0
