Opponent Decklist,Result
Alpine Moon | Bloodrage Brawler | Sandstone Needle,0.0
Ancient Tomb | Epochrasite | Epochrasite,-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Badlands | Blazing Rootwalla | Bone Shards,0.0
Boros Garrison | Cathar Commando | Hellion Crucible,-1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Doorkeeper Thrull | Phyrexian Dreadnought | Remote Farm,-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Flash | Saprazzan Skerry | Woodfall Primus,-1.0
Force of Despair | Grief | Memnite,-1.0
Force of Despair | Memnite | Unmask,-1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
Forest | Hexdrinker | Pick Your Poison,0.0
Hexdrinker | Llanowar Reborn | Pick Your Poison,0.0
Hive Mind | Pact of the Titan | Saprazzan Cove,-1.0
"Hungry Lynx | Malamet Brawler | Mirri, Cat Warrior",1.0
"Island | Mu Yanling, Sky Dancer | Saprazzan Skerry",-1.0
Keldon Halberdier | Keldon Halberdier | Mountain,-1.0
Legolas's Quick Reflexes | Rushwood Grove | Tempting Wurm,-1.0
Loxodon Smiter | Selesnya Sanctuary | Treetop Village,-1.0
Misdirection | Misthollow Griffin | Saprazzan Cove,1.0
Nullhide Ferox | Obstinate Baloth | Rushwood Grove,-1.0
"Path to Exile | Remote Farm | Thalia, Guardian of Thraben",-1.0
