Opponent Decklist,Result
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,-0.5
Ancient Tomb | Eye of Ugin | Thought-Knot Seer,0.0
"Boseiju, Who Endures | Gruul Turf | Wrenn and Six",0.0
"Boseiju, Who Endures | Hexdrinker | Selesnya Sanctuary",-0.5
Burly Breaker | Lotus Bloom | Show and Tell,0.0
Cho-Arrim Legate | Evil Presence | Scrubland,0.0
Chromatic Orrery | Door to Nothingness | Saprazzan Cove,0.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",-1.0
"Crystal Vein | Karn, Living Legacy | Mana Vault",-0.5
Curse of Silence | Karakas | Leyline of Singularity,0.0
Curse of Silence | Ocelot Pride | Plains,-0.5
Foil | Island | Rishadan Dockhand,-0.5
Gemstone Mine | Portable Hole | Restore Balance,0.0
Guide of Souls | Norin the Wary | Undiscovered Paradise,-0.5
Inkmoth Nexus | Karakas | Porphyry Nodes,-1.0
Karakas | Meddling Mage | Mox Sapphire,-0.5
Karakas | Ocelot Pride | Path to Exile,-0.5
Memnite | Memnite | Memnite,-1.0
Mother of Runes | Ocelot Pride | Plains,-1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-0.5
Path to Exile | Remote Farm | Skrelv's Hive,0.0
