Opponent Decklist,Result
Ancient Tomb | Grim Monolith | Leveler,-1.0
Bottomless Vault | Nether Spirit | Sudden Edict,1.0
Compelling Deterrence | Foulmire Knight | Sulfur Vent,1.0
Crawling Chorus | Scrubland | Tendrils of Despair,0.0
"Dark Ritual | Davriel, Rogue Shadowmage | Swamp",0.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.0
Ensnaring Bridge | Keldon Megaliths | Mercadian Bazaar,-1.0
Force of Despair | Grief | Memnite,0.5
Force of Negation | Memnite | Snapback,0.5
Generous Plunderer | Sandstone Needle | Stasis,-1.0
Gift of Fangs | Swamp | Vampire of the Dire Moon,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Gourmand's Talent | Hickory Woodlot | Sheltered Valley,-1.0
Mana Vault | Mox Jet | Rottenmouth Viper,-1.0
Memnite | Memnite | Memnite,1.0
Mox Pearl | Plains | Precinct Captain,0.0
Rimrock Knight | Roc Hunter | Sandstone Needle,1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
Sarcomancy | Tel-Jilad Stylus | Urborg,-1.0
