Opponent Decklist,Result
"Ajani, Nacatl Pariah | Remote Farm | Shire Shirriff",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Hex Parasite | Steel Overseer,1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Simian Spirit Guide | Stingerback Terror,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.5
Bottomless Vault | Doomsday Confluence | Subterranean Hangar,0.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Chancellor of the Forge | Contagion | Unmask,-1.0
Court of Grace | Icatian Store | Ice Floe,0.5
Dark Ritual | Master of the Feast | Swamp,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Etched Slith | Peat Bog | Sheoldred's Edict,-1.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,0.5
"Icatian Store | Island Sanctuary | Ulamog, the Infinite Gyre",0.0
Ice Floe | Living Conundrum | Sand Silos,1.0
Living Conundrum | Sand Silos | Saprazzan Cove,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
"Argoth, Sanctum of Nature | Sunken Citadel | Sunken Citadel",1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,0.5
Blast Zone | Sunken Citadel | Treetop Village,1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.0
Dismember | Eldrazi Temple | Idol of False Gods,0.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,1.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Field of Ruin | Idol of False Gods | Sol Ring,0.5
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Mesmeric Fiend | Mox Jet | Rishadan Port,0.0
Mesmeric Fiend | Mox Jet | Urza's Factory,0.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
