Opponent Decklist,Result
Alpine Moon | Mountain | Stromkirk Noble,0.0
Banishing Slash | Remote Farm | Skrelv's Hive,0.0
Bayou | Encroach | Hexdrinker,-0.5
Chancellor of the Forge | Force of Negation | Snapback,1.0
City of Traitors | Geth's Verdict | Isochron Scepter,-0.5
City of Traitors | Isochron Scepter | Lightning Helix,-0.5
City of Traitors | Jhoira's Toolbox | Umezawa's Jitte,0.0
City of Traitors | Magus of the Moon | Mox Ruby,0.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,0.5
City of Traitors | Saprazzan Skerry | Stoic Sphinx,0.5
City of Traitors | Time Vault | Voltaic Servant,0.0
Dark Depths | Sunken Citadel | Thespian's Stage,1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,-1.0
Fountain of Cho | Path to Exile | Skrelv's Hive,-1.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",0.5
Gilded Drake | Teferi's Isle | Tel-Jilad Stylus,1.0
Inkmoth Nexus | Island Sanctuary | Mox Pearl,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mox Pearl | Rishadan Port | Skrelv's Hive,-1.0
Path to Exile | Remote Farm | Skrelv's Hive,0.0
"Sanctum of Stone Fangs | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",0.0
