Opponent Decklist,Result
Ancient Tomb | Archfiend of Spite | Diamond Lion,-1.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,-0.5
Approach of the Second Sun | Fountain of Cho | Swords to Plowshares,1.0
Battlefield Raptor | Karakas | Leyline of Sanctity,1.0
Bayou | Evil Presence | Swarm Shambler,0.0
Bayou | Funeral Charm | Swarm Shambler,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Cabal Therapy | Piracy Charm | Underground Sea,0.5
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Foil | Snow-Covered Island,1.0
"Channel | Emrakul, the Aeons Torn | Hickory Woodlot",-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Chronosavant | Icatian Store | Seasoned Hallowblade,1.0
Crashing Footfalls | Path to Exile | Savannah,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dryad Arbor | Dryad Arbor | Lush Growth,1.0
Energy Field | Saprazzan Skerry | The Millennium Calendar,0.0
Energy Field | Sleeper Agent | Sulfur Vent,-1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-1.0
Funeral Charm | Rimebound Dead | Snow-Covered Swamp,0.0
"Fynn, the Fangbearer | Hickory Woodlot | Outland Liberator",-1.0
"Hunted Horror | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",-1.0
Island | Mishra's Factory | Sleep-Cursed Faerie,0.0
Karakas | Mox Pearl | Skrelv's Hive,1.0
"Lair of the Hydra | Llanowar Mentor | Ulamog, the Infinite Gyre",-1.0
"Smallpox | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",0.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,-0.5
Arrogant Wurm | Lion's Eye Diamond | Wasteland,1.0
Basking Rootwalla | Hickory Woodlot | Royal Treatment,1.0
Bayou | Encroach | Hexdrinker,1.0
Bitterblossom | Dauthi Voidwalker | Peat Bog,0.0
"Bottomless Vault | Kaervek, the Spiteful | Ophiomancer",1.0
Burning Inquiry | Nether Spirit | Simian Spirit Guide,0.0
Cenn's Tactician | Karakas | Path to Exile,-1.0
Cenn's Tactician | Leyline of Anticipation | Mox Pearl,1.0
Chancellor of the Forge | Force of Negation | Mental Misstep,1.0
Chaplain of Alms | Karakas | Leyline of Singularity,0.0
Chronomaton | Pithing Needle | Wasteland,-1.0
City of Traitors | Isochron Scepter | Verdant Command,-1.0
Dryad Arbor | Force of Negation | Snapback,1.0
Durkwood Baloth | Forest | Young Wolf,1.0
Hexdrinker | Overgrown Tomb | Snuff Out,-1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",-1.0
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Leyline of Singularity | The Rack,0.0
Lodestone Golem | Mishra's Workshop | Sol Ring,0.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,-1.0
Misthollow Griffin | Saprazzan Cove | Subtlety,1.0
Pithing Needle | Plains | Student of Warfare,-1.0
Sol Ring | Tel-Jilad Stylus | Urza's Saga,-1.0
