Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",1.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.0
Ancient Tomb | Isochron Scepter | Lazotep Plating,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Battle of Wits | Mental Misstep | Sand Silos,0.0
Bayou | Hexdrinker | Inquisition of Kozilek,0.5
Blinkmoth Nexus | Mox Pearl | Reluctant Role Model,0.5
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,0.5
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",1.0
Chancellor of the Forge | Contagion | Unmask,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,1.0
Crawling Chorus | Plains | Unwanted Remake,-1.0
Crystal Vein | Lodestone Golem | Mana Vault,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Crystal Vein | Mox Emerald | Words of Wilding,1.0
Curse of Silence | Hexdrinker | Savannah,0.5
"Daretti, Ingenious Iconoclast | Generous Plunderer | Sandstone Needle",1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Daze | Sleep-Cursed Faerie | Volcanic Island,1.0
Detention Vortex | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
"Diamond Lion | Ebondeath, Dracolich | Subterranean Hangar",1.0
Dismember | Memnite | Wasteland,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
Dwarven Hold | Hammer of Bogardan | Wasteland,1.0
Floodpits Drowner | Mox Sapphire | Mutavault,1.0
Force of Despair | Memnite | Unmask,-1.0
Forest | Hexdrinker | Wasteland,0.5
Forest | Old-Growth Dryads | Old-Growth Dryads,0.5
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
"Grist, Voracious Larva | Pendelhaven | Young Wolf",1.0
Hammerheim | Heartfire Hero | Lightning Bolt,0.0
Hammerheim | Heartfire Hero | Wasteland,1.0
Hope of Ghirapur | Wasteland | Welding Jar,1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",1.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Island | Sleep-Cursed Faerie | Unable to Scream,-1.0
Island | Sleep-Cursed Faerie | Wasteland,1.0
Isochron Scepter | Lightning Helix | Mana Crypt,0.0
Isochron Scepter | Mana Crypt | Verdant Command,0.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,1.0
Leyline of Transformation | Rushwood Grove | Turntimber Ranger,1.0
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison,1.0
Mana Tithe | Plains | Speaker of the Heavens,1.0
Memnite | Snow-Covered Swamp | Specter's Shriek,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mox Jet | Nezumi Shortfang | Wasteland,1.0
Mox Pearl | Mutavault | Skrelv's Hive,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
Mox Pearl | Skrelv's Hive | Wasteland,0.0
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",1.0
Plains | Savannah Lions | Unwanted Remake,-1.0
Plains | Student of Warfare | Unwanted Remake,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,0.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,0.0
