Opponent Decklist,Result
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,0.5
Alpine Moon | Hexdrinker | Undiscovered Paradise,1.0
Ancient Den | Dusk Rose Reliquary | Glint Hawk,0.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,-0.5
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,0.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Boros Garrison | Ensnaring Bridge | Keldon Megaliths,-1.0
Brain Maggot | Mox Jet | Rishadan Port,1.0
Cavern of Souls | Hexdrinker | Mana Crypt,1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Force of Despair | Unmask,0.0
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Chancellor of the Forge | Vexing Bauble | Wasteland,0.0
Crystal Vein | Mox Jet | Unstoppable Slasher,-1.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Dismember | Dryad Arbor | Wasteland,0.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Hollow Trees | Nullhide Ferox,1.0
Dusk Rose Reliquary | Thornglint Bridge | Young Wolf,-1.0
Etched Slith | Mishra's Factory | Mox Jet,1.0
Forest | Hexdrinker | Mental Misstep,0.0
Forest | Hexdrinker | Nullhide Ferox,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,1.0
Gleeful Demolition | Memnite | Mountain,1.0
Haywire Mite | Thornglint Bridge | Unwanted Remake,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mishra's Factory | Sol Ring | Sphere of Resistance,0.0
Plains | Student of Warfare | Unwanted Remake,0.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Karakas | Mutavault",0.5
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Animating Faerie | Tanglepool Bridge,0.0
Ancient Tomb | Crystalline Giant | Demolition Field,1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Ancient Tomb | Phyrexian Revoker | Phyrexian Revoker,0.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,0.5
Calciform Pools | Island Sanctuary | Mirrex,-1.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Cavern of Souls | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.0
Contagion | Dryad Arbor | Unmask,0.0
"Contested Cliffs | Gruul Turf | Migloz, Maze Crusher",1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,0.5
Crystal Vein | Memnite | Sphere of Resistance,0.0
Dark Ritual | Swamp | Unstoppable Slasher,-0.5
Daze | Hexdrinker | Tropical Island,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.5
Dryad Arbor | Force of Negation | Mental Misstep,0.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Faithbound Judge | Icatian Store | Island Sanctuary,-1.0
Greater Gargadon | Inspiring Vantage | Restore Balance,0.0
Hexdrinker | Llanowar Reborn | Pick Your Poison,1.0
Hollow Trees | Primordial Hydra | The Tabernacle at Pendrell Vale,0.0
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Meddling Mage | Mox Sapphire,1.0
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mishra's Factory | Mox Jet | Nezumi Graverobber,1.0
Mishra's Factory | Mox Pearl | Prairie Dog,1.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,-1.0
Prairie Dog | Remote Farm | Skrelv's Hive,0.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Reinforced Ronin | Slagwoods Bridge | Teething Wurmlet,1.0
