Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Ancient Tomb | Dismember | Steel Overseer,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Blinkmoth Nexus | Grove of the Burnwillows | Punishing Fire,1.0
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Butcher Ghoul | Peat Bog | Smallpox,0.5
Copper Tablet | Get Lost | Remote Farm,1.0
Crack the Earth | Hammerheim | Heartfire Hero,-0.5
Cruel Sadist | Dreams of Steel and Oil | Snow-Covered Swamp,1.0
Cruel Sadist | Dreams of Steel and Oil | Swamp,1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",-1.0
Dark Ritual | Mox Jet | Phylactery Lich,1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",0.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",1.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",0.0
Hammerheim | Heartfire Hero | Thud,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",-1.0
Island Sanctuary | Remote Farm | Skrelv's Hive,0.0
Mana Tithe | Memnite | Plains,1.0
Ocelot Pride | Plains | Sheltered Valley,-1.0
Bayou | Hexdrinker | Inquisition of Kozilek,-1.0
"Blazing Rootwalla | Plateau | Skrelv, Defector Mite",1.0
Cabal Therapist | Shrouded Lore | Swamp,0.0
Crawling Chorus | Karakas | Leyline of Singularity,-1.0
Crystal Vein | Leveler | Mana Vault,1.0
Crystal Vein | Mox Jet | Unstoppable Slasher,1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Dryad Arbor | Leyline of Sanctity | Mistbreath Elder,1.0
Ensnaring Bridge | Sleeper Agent | Subterranean Hangar,0.0
"Eye of Ugin | Inverter of Truth | Urborg, Tomb of Yawgmoth",0.0
Forest | Healer of the Glade | Mistbreath Elder,1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Hexdrinker | Razorverge Thicket | Unwanted Remake,-1.0
Island | Mark of Eviction | Sleep-Cursed Faerie,1.0
Kabira Crossroads | Providence | Speaker of the Heavens,-1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,-1.0
Mishra's Factory | Sheltered Valley | Thespian's Stage,1.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,0.5
