Opponent Decklist,Result
Aether Refinery | Braid of Fire | Sandstone Needle,1.0
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",1.0
"Ajani, Nacatl Pariah | Remote Farm | Shire Shirriff",1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,1.0
Ancient Tomb | Hex Parasite | Steel Overseer,-1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Simian Spirit Guide | Stingerback Terror,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Boros Garrison | Island Sanctuary | Keldon Megaliths,1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Bottomless Vault | Doomsday Confluence | Subterranean Hangar,1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Chancellor of the Forge | Contagion | Unmask,1.0
Chancellor of the Forge | Foil | Island,1.0
Court of Grace | Icatian Store | Ice Floe,-1.0
Dark Ritual | Master of the Feast | Swamp,-1.0
Dismember | Dryad Arbor | Noxious Revival,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.0
Dryad Arbor | Force of Despair | Grief,1.0
Etched Slith | Peat Bog | Sheoldred's Edict,-1.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,-1.0
Hammerheim | Heartfire Hero | Pithing Needle,0.0
"Icatian Store | Island Sanctuary | Ulamog, the Infinite Gyre",0.0
Ice Floe | Living Conundrum | Sand Silos,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Karakas | Leyline of Singularity | Loyal Sentry,1.0
Kor Haven | Skrelv's Hive | Sunken Citadel,1.0
Living Conundrum | Sand Silos | Saprazzan Cove,-1.0
Mishra's Factory | Mox Pearl | Prairie Dog,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
Riftwing Cloudskate | Saprazzan Skerry | Watcher of Hours,-1.0
