Opponent Decklist,Result
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Apostle's Blessing | Luminarch Aspirant | Remote Farm,1.0
Assassin Initiate | Swamp | Thoughtseize,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,-0.5
"Boseiju, Who Endures | Grist, Voracious Larva | Hickory Woodlot",0.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",0.0
"Boseiju, Who Endures | Phelia, Exuberant Shepherd | Selesnya Sanctuary",0.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Path to Exile | Snow-Covered Plains,1.0
Chancellor of the Forge | Memnite | Pyrokinesis,1.0
Changeling Outcast | Maze of Ith | Mox Jet,-0.5
Colossus Hammer | Kor Outfitter | Remote Farm,1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,0.0
Dark Ritual | Rotting Regisaur | Swamp,0.0
Dismember | Hollow Trees | Quagnoth,1.0
Dismember | Island | Sleep-Cursed Faerie,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Dryad Arbor | Mental Misstep | Pick Your Poison,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0
Encroach | Swamp | Vector Asp,0.0
Hexdrinker | Leyline of Anticipation | Mox Emerald,-1.0
Hollow Trees | Pick Your Poison | Tyrranax Rex,-1.0
Inkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,1.0
Karakas | Mox Pearl | White Orchid Phantom,0.5
Living Conundrum | Maze of Ith | Sand Silos,-1.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,0.0
Ocelot Pride | Plateau | Taste for Mayhem,0.0
Ocelot Pride | Scrubland | Thoughtseize,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",1.0
"Phelia, Exuberant Shepherd | Ruins of Trokair | Tax Collector",1.0
Saprazzan Skerry | Star Whale | Time Beetle,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.0
Aether Vial | Karakas | Mangara of Corondor,1.0
Assassin's Trophy | Geothermal Crevice | Reckless Waif,1.0
Augur of Skulls | Dark Ritual | Swamp,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",0.0
City of Traitors | Elixir of Immortality | Hangarback Walker,1.0
City of Traitors | Field of Ruin | Hangarback Walker,-0.5
City of Traitors | Hangarback Walker | Hangarback Walker,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
Crack the Earth | Forge Devil | Sandstone Needle,1.0
Energy Field | Island | Mutavault,1.0
Field of Ruin | Hangarback Walker | Sol Ring,0.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,0.5
Innocent Blood | Sacred Cat | Scrubland,1.0
Invisible Stalker | Reality Shift | Saprazzan Skerry,1.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",0.0
Leyline of Sanctity | Remote Farm | Skrelv's Hive,-1.0
"Lightning Bolt | Mercadian Bazaar | Squee, the Immortal",1.0
"Liliana, The Last Hope | Subterranean Hangar | Vadmir, New Blood",1.0
Lore Broker | Saprazzan Skerry | Tide Shaper,1.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
Prairie Dog | Remote Farm | Swarmyard,1.0
