Opponent Decklist,Result
Ancient Tomb | Field of Ruin | Phyrexian Revoker,-0.5
Ancient Tomb | Isochron Scepter | Warping Wail,0.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,1.0
Bayou | Hexdrinker | Thoughtseize,0.0
Bilious Skulldweller | Elixir of Immortality | Geothermal Crevice,1.0
Bitterblossom | Mox Jet | Rishadan Port,1.0
Bitterblossom | Peat Bog | Smallpox,0.5
Bitterblossom | Peat Bog | Thoughtseize,1.0
Braid of Fire | Red Sun's Zenith | Sandstone Needle,1.0
Cavern of Souls | Hexdrinker | Rishadan Port,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Chancellor of the Annex | Field of Ruin | Icatian Store,1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,0.5
Chancellor of the Annex | Icatian Store | Solitude,1.0
"Chancellor of the Annex | Jace, Wielder of Mysteries | Sand Silos",1.0
Chancellor of the Annex | Memnite | Solitude,1.0
Chancellor of the Annex | Saprazzan Skerry | Tide Shaper,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Deep-Cavern Bat | Mishra's Factory | Mox Jet,0.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,0.0
Dryad Arbor | Inkmoth Nexus | Pick Your Poison,0.0
Duskwielder | Paralyze | Swamp,1.0
Energy Field | Irrigation Ditch | Soltari Foot Soldier,1.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,0.0
"Great Furnace | Krenko, Baron of Tin Street | Mana Crypt",0.0
Inkmoth Nexus | Sol Ring | Steel Overseer,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Karakas | Righteousness | Speaker of the Heavens,1.0
Luminarch Aspirant | Ornithopter | Remote Farm,1.0
Mishra's Factory | Mox Jet | Thoughtseize,0.0
Nether Spirit | Peat Bog | Smallpox,0.0
Sunken Citadel | Sunken Citadel | Tomb of Urami,1.0
Aether Vial | Chancellor of the Tangle | Krenko's Buzzcrusher,1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,1.0
"Ancient Tomb | Karn, Scion of Urza | Mana Vault",1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Artifact Blast | Chancellor of the Forge | Simian Spirit Guide,-1.0
Ayara's Oathsworn | Peat Bog | Sheoldred's Edict,0.0
Bayou | Fume Spitter | Pick Your Poison,0.0
Bitterblossom | Demon of Death's Gate | Peat Bog,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,0.0
Cenn's Tactician | Encroach | Scrubland,0.0
Chalice of the Void | Mishra's Factory | Sol Ring,0.0
Deep-Cavern Bat | Peat Bog | Sinkhole,0.0
Desert | Hangarback Walker | Inkmoth Nexus,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0
"Energy Field | Saprazzan Cove | Ulamog, the Infinite Gyre",1.0
Figure of Destiny | Fountain of Cho | Path to Exile,1.0
Gleeful Demolition | Rustvale Bridge | Warden of the Inner Sky,0.5
"Gor Muldrak, Amphinologist | Inkmoth Nexus | Simic Growth Chamber",1.0
Inkmoth Nexus | Skrelv's Hive | Snow-Covered Plains,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,0.0
