Opponent Decklist,Result
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",1.0
"Ajani, Nacatl Pariah | Hostile Hostel | Karakas",1.0
Bonesplitter | Ocelot Pride | Plains,0.0
Bottomless Vault | Reassembling Skeleton | Sheoldred's Edict,-1.0
Brain Maggot | Mox Jet | Rishadan Port,-0.5
Cenn's Tactician | Path to Exile | Plains,0.0
Chancellor of the Forge | Foil | Island,-1.0
Charmbreaker Devils | Lightning Bolt | Mercadian Bazaar,-1.0
City of Traitors | Disruptor Flute | Drillworks Mole,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Disruptor Flute | Steel Overseer,0.0
City of Traitors | Epochrasite | Jinxed Idol,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
Curse of Silence | Ocelot Pride | Plains,0.0
Dark Ritual | Exsanguinator Cavalry | Urborg,0.0
Field of Ruin | Idol of False Gods | Sol Ring,0.0
Mana Tithe | Memnite | Plains,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-0.5
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
