Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,1.0
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",-1.0
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",-1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,1.0
Alpine Moon | Gleeful Demolition | Great Furnace,1.0
Alpine Moon | Ocelot Pride | Plateau,-1.0
Alpine Moon | Thornscape Apprentice | Undiscovered Paradise,1.0
Arena of Glory | Genesis Chamber | Norin the Wary,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Bayou | Scythe Tiger | Thoughtseize,0.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,1.0
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,0.0
City of Traitors | Cryptic Trilobite | Disruptor Flute,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Disruptor Flute | Steel Overseer,0.0
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Mana Crypt | Thought-Knot Seer,0.0
City of Traitors | Mox Pearl | Peacekeeper,0.0
Crawling Chorus | Plains | Portable Hole,0.0
Disruptor Flute | Inkmoth Nexus | Mox Jet,0.0
Dreadhorde Invasion | March from the Black Gate | Peat Bog,1.0
Drowner of Truth | Flickerwisp | Remote Farm,0.0
Ebon Stronghold | Sudden Edict | Vicious Conquistador,1.0
Encroach | Flailing Soldier | Undiscovered Paradise,0.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
Forced Adaptation | Forest | Slippery Bogle,1.0
Healer's Hawk | Karakas | Path to Exile,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Isochron Scepter | Lightning Helix | Mana Crypt,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Karakas | Ocelot Pride | Sheltered Valley,0.0
Mindleech Ghoul | Mox Jet | Unholy Grotto,1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Raze | Sleep-Cursed Faerie | Volcanic Island,1.0
Remote Farm | Soul Partition | White Orchid Phantom,-0.5
Saprazzan Skerry | Unsubstantiate | Volatile Stormdrake,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Apostle's Blessing | Luminarch Aspirant | Remote Farm,1.0
Assassin Initiate | Swamp | Thoughtseize,0.0
"Boseiju, Who Endures | Grist, Voracious Larva | Hickory Woodlot",1.0
"Boseiju, Who Endures | Phelia, Exuberant Shepherd | Selesnya Sanctuary",0.0
Cenn's Tactician | Path to Exile | Plains,1.0
Changeling Outcast | Maze of Ith | Mox Jet,1.0
Colossus Hammer | Kor Outfitter | Remote Farm,0.0
Dark Ritual | Rotting Regisaur | Swamp,-1.0
Dismember | Hollow Trees | Quagnoth,1.0
Dryad Arbor | Mental Misstep | Pick Your Poison,1.0
Encroach | Swamp | Vector Asp,0.0
Hexdrinker | Leyline of Anticipation | Mox Emerald,1.0
Hollow Trees | Pick Your Poison | Tyrranax Rex,1.0
Inkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,1.0
Ocelot Pride | Plateau | Taste for Mayhem,-1.0
Ocelot Pride | Scrubland | Thoughtseize,0.0
"Phelia, Exuberant Shepherd | Ruins of Trokair | Tax Collector",1.0
Saprazzan Skerry | Star Whale | Time Beetle,1.0
"Aether Vial | Anim Pakal, Thousandth Moon | Pendelhaven",1.0
Ancient Tomb | Dark Depths | Thespian's Stage,-1.0
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",1.0
Bayou | Cabal Therapy | Swarm Shambler,0.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Bitterblossom | Peat Bog | Smallpox,0.0
