Opponent Decklist,Result
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Carnage Tyrant | Rushwood Grove | Rushwood Grove,0.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,0.0
Contagion | Corpulent Corpse | Malakir Rebirth,0.0
Crashing Footfalls | Funeral Charm | Undiscovered Paradise,-1.0
Crawling Barrens | Sol Ring | Sol Ring,0.0
Damping Sphere | Mishra's Factory | Sol Ring,0.0
Daze | Hexdrinker | Tropical Island,-1.0
Deeproot Pilgrimage | Island | Mutavault,-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Force of Negation | Misthollow Griffin | Sand Silos,0.0
Forest | Hexdrinker | Mental Misstep,-1.0
Fountain of Cho | Icatian Store | Martial Coup,-1.0
Geth's Verdict | Peat Bog | Phyrexian Revoker,0.0
Hangarback Walker | Mutavault | Sol Ring,-1.0
Hickory Woodlot | Outland Liberator | Over the Edge,0.0
Inkmoth Nexus | Mox Pearl | Ratchet Bomb,0.0
"Isamaru, Hound of Konda | Karakas | Mana Tithe",0.0
Leyline Binding | Leyline of the Guildpact | Maze of Ith,0.0
Memnite | Memnite | Memnite,-1.0
Mercadian Bazaar | Red Sun's Zenith | Wild Magic Surge,-1.0
Orcish Lumberjack | Sunder Shaman | Taiga,0.0
