Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",1.0
Ancient Tomb | Isochron Scepter | Lazotep Plating,1.0
Ancient Tomb | Mox Ruby | Urabrask's Forge,-1.0
Awakening Zone | Hollow Trees | World Breaker,1.0
Bayou | Hexdrinker | Inquisition of Kozilek,0.5
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,0.5
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",1.0
Chancellor of the Forge | Contagion | Unmask,0.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Chancellor of the Forge | Mental Misstep | Wasteland,-1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",1.0
Crawling Chorus | Plains | Unwanted Remake,1.0
Crystal Vein | Hickory Woodlot | Nullhide Ferox,1.0
"Daretti, Ingenious Iconoclast | Generous Plunderer | Sandstone Needle",1.0
Darksteel Citadel | Mox Sapphire | Rise and Shine,-1.0
Daze | Island | Sleep-Cursed Faerie,0.0
"Diamond Lion | Ebondeath, Dracolich | Subterranean Hangar",1.0
Dismember | Hollow Trees | Quagnoth,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Drowner of Truth | Mox Sapphire | Teferi's Time Twist,1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
Forest | Old-Growth Dryads | Old-Growth Dryads,-1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",1.0
Glint Hawk | Glint Hawk | Mox Pearl,0.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
Hexdrinker | Snow-Covered Forest | Wasteland,-1.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Island | Sleep-Cursed Faerie | Wasteland,0.0
Lake of the Dead | Leveler | Swamp,1.0
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison,-0.5
Mox Jet | Nezumi Shortfang | Wasteland,1.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,0.0
"Phelia, Exuberant Shepherd | Remote Farm | Unwanted Remake",1.0
Plains | Savannah Lions | Unwanted Remake,1.0
Remote Farm | Sheltered by Ghosts | Voice of the Blessed,1.0
Saprazzan Skerry | Silent Hallcreeper | Silent Hallcreeper,1.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,0.0
