Opponent Decklist,Result
Akroan Crusader | Mark of Fury | Mountain,-1.0
Ancient Tomb | Damping Sphere | Soldevi Sentry,1.0
"Anim Pakal, Thousandth Moon | Boros Garrison | Hellion Crucible",-1.0
Argent Dais | Dryad Arbor | Karakas,0.0
Bilious Skulldweller | Divest | Swamp,0.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,-1.0
Bottomless Vault | Murderous Rider | Wasteland,-1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Tangle | Gatstaf Shepherd | Wasteland,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",-1.0
Forest | Hexdrinker | Wasteland,-1.0
Forest | Old-Growth Dryads | Wasteland,-1.0
Gravecrawler | Gravecrawler | Swamp,1.0
Hexdrinker | Pick Your Poison | Valgavoth's Lair,0.0
Into the Flood Maw | Tanglepool Bridge | Wind Zendikon,0.0
Memnite | Memnite | Memnite,0.0
Mercadian Bazaar | Shivan Devastator | Subterranean Tremors,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mox Jet | Nezumi Shortfang | Wasteland,-1.0
