Opponent Decklist,Result
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-0.5
Ancient Tomb | Time Vault | Voltaic Servant,-1.0
Bitterblossom | Mox Jet | Rishadan Port,0.0
Bitterblossom | Peat Bog | Thoughtseize,0.0
Blazing Shoal | Chancellor of the Forge | Chancellor of the Forge,0.0
Chancellor of the Annex | Field of Ruin | Fountain of Cho,-1.0
Chancellor of the Annex | Fountain of Cho | Ghostly Prison,0.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,0.0
Chancellor of the Annex | Icatian Store | Luminarch Aspirant,0.0
Chancellor of the Annex | Icatian Store | Path to Exile,0.0
Chancellor of the Forge | Foil | Island,0.0
Crack the Earth | Innocent Blood | Undiscovered Paradise,0.0
Crack the Earth | Memnite | Mox Ruby,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",0.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.0
Divine Gambit | Fountain of Cho | Skrelv's Hive,-1.0
Hexdrinker | Mox Emerald | Rishadan Port,0.0
Memnite | Memnite | Memnite,0.0
