Opponent Decklist,Result
Alpine Moon | Hexdrinker | Undiscovered Paradise,0.5
Boros Garrison | Ensnaring Bridge | Keldon Megaliths,-1.0
Cavern of Souls | Hexdrinker | Mana Crypt,1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Force of Despair | Unmask,0.0
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Crystal Vein | Mox Jet | Unstoppable Slasher,1.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Dismember | Dryad Arbor | Wasteland,-1.0
Dusk Rose Reliquary | Thornglint Bridge | Young Wolf,0.5
Forest | Hexdrinker | Nullhide Ferox,1.0
Haywire Mite | Thornglint Bridge | Unwanted Remake,0.5
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Plains | Student of Warfare | Unwanted Remake,0.0
Remote Farm | Skrelv's Hive | Soul Partition,-0.5
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Auriok Champion | Remote Farm | Skrelv's Hive,1.0
Bandit's Talent | Hateful Eidolon | Peat Bog,1.0
"Boseiju, Who Endures | Hickory Woodlot | Tender Wildguide",-1.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",-1.0
Crawling Barrens | Planar Nexus | Urza's Tower,-1.0
"Dargo, the Shipwrecker | Mana Crypt | Mox Ruby",1.0
Dryad Arbor | Mistbreath Elder | Pick Your Poison,-1.0
"Eiganjo, Seat of the Empire | Frodo, Sauron's Bane | Orzhov Basilica",1.0
Etched Slith | Mishra's Factory | Mox Jet,1.0
Goblin Guide | Goblin Guide | Mountain,1.0
Great Furnace | Kuldotha Rebirth | Mental Misstep,0.0
Hammerheim | Heartfire Hero | Maze of Ith,0.0
Hammerheim | Heartfire Hero | Mental Misstep,0.0
Hollow Trees | Pick Your Poison | Tender Wildguide,0.5
Legacy's Allure | Saprazzan Skerry | Star Whale,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
"Mikaeus, the Lunarch | Remote Farm | Swift Reconfiguration",0.5
Ocelot Pride | Ocelot Pride | Plains,1.0
Orcish Bowmasters | Peat Bog | Sheoldred's Edict,0.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",1.0
Rushwood Grove | Tamiyo's Safekeeping | Tender Wildguide,1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,1.0
Ancient Tomb | Time Vault | Voltaic Servant,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bilious Skulldweller | Dreams of Steel and Oil | Swamp,0.5
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Consign to Memory | Phyrexian Dreadnought | Saprazzan Skerry,1.0
Cry of Contrition | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.5
Dreadhorde Invasion | Mox Jet | Rishadan Port,1.0
Giver of Runes | Ocelot Pride | Plains,1.0
"Hexdrinker | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",0.0
"Izzet Boilerworks | The Tabernacle at Pendrell Vale | Yidaro, Wandering Monster",0.0
Kefnet's Last Word | Living Conundrum | Sand Silos,-1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",0.5
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",0.5
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Ancient Tomb | Phyrexian Revoker | Phyrexian Revoker,1.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,0.5
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Calciform Pools | March of Otherworldly Light | Mirrex,0.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,-1.0
Contagion | Dryad Arbor | Unmask,-1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,0.5
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.5
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe,0.5
Mishra's Factory | Mox Pearl | Skrelv's Hive,1.0
Prairie Dog | Remote Farm | Skrelv's Hive,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
