Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",0.0
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",-0.5
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bayou | Scythe Tiger | Thoughtseize,0.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,-0.5
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Disruptor Flute | Steel Overseer,0.0
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Isochron Scepter | Lightning Helix | Mana Crypt,1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",1.0
Saprazzan Skerry | Unsubstantiate | Volatile Stormdrake,0.0
"Ajani, Nacatl Pariah | Mox Pearl | Wasteland",0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.5
Angel of Sanctions | Fountain of Cho | Solitude,-1.0
Chancellor of the Forge | Contagion | Grief,0.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,1.0
Crawling Chorus | Curse of Silence | Plains,0.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dismember | Forest | Utopia Mycon,-1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,0.0
Isochron Scepter | Mana Crypt | Verdant Command,1.0
Legacy's Allure | Saprazzan Skerry | Watcher of Hours,-1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",0.5
"Mox Pearl | Thalia, Guardian of Thraben | Wasteland",0.5
Plains | Student of Warfare | Unwanted Remake,-1.0
Razortide Bridge | Sleep-Cursed Faerie | Unwanted Remake,0.0
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",-1.0
Alpine Moon | Inkmoth Nexus | Mountain,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,0.0
Ancient Tomb | Eye of Ugin | Thought-Knot Seer,1.0
Ancient Tomb | Hidetsugu Consumes All | Shadowblood Ridge,1.0
Angel of Sanctions | Icatian Store | Solitude,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Bayou | Hexdrinker | Thoughtseize,0.0
"Boseiju, Who Endures | Gruul Turf | Wrenn and Six",1.0
"Boseiju, Who Endures | Hexdrinker | Selesnya Sanctuary",0.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",-1.0
Burly Breaker | Lotus Bloom | Show and Tell,1.0
Cenn's Tactician | Curse of Silence | Plains,0.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Cenn's Tactician | Path to Exile | Snow-Covered Plains,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Cho-Arrim Legate | Evil Presence | Scrubland,1.0
Chromatic Orrery | Door to Nothingness | Saprazzan Cove,1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",1.0
"Crystal Vein | Karn, Living Legacy | Mana Vault",1.0
Curse of Silence | Karakas | Leyline of Singularity,0.0
Curse of Silence | Ocelot Pride | Plains,0.0
Dark Ritual | Rotting Regisaur | Swamp,0.0
Daze | Icehide Golem | Snow-Covered Island,0.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,1.0
Flash | Gruff Triplets | Saprazzan Skerry,1.0
Foil | Island | Rishadan Dockhand,0.0
Forest | Hexdrinker | Mental Misstep,0.0
Forest | Hexdrinker | Pick Your Poison,0.0
Forest | Llanowar Mentor | Vigor,0.0
Gemstone Mine | Portable Hole | Restore Balance,0.0
Gleeful Demolition | Mountain | Voldaren Epicure,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Grief | Swamp | Undying Evil,0.5
Guide of Souls | Norin the Wary | Undiscovered Paradise,1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,0.0
Inkmoth Nexus | Ruins of Oran-Rief | The Filigree Sylex,-1.0
Island | Maze of Ith | Sleep-Cursed Faerie,-0.5
Karakas | Ocelot Pride | Path to Exile,0.0
Memnite | Memnite | Memnite,0.5
Mother of Runes | Ocelot Pride | Plains,0.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",1.0
Nix | Ocelot Pride | Tundra,0.5
Ocelot Pride | Ocelot Pride | Plains,0.5
Ocelot Pride | Path to Exile | Plains,0.0
Ocelot Pride | Scrubland | Thoughtseize,0.0
Path to Exile | Remote Farm | Skrelv's Hive,-1.0
Radiant Solar | Reanimate | Scrubland,1.0
Sand Silos | Saprazzan Cove | Trench Behemoth,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,1.0
Ancient Tomb | Animation Module | Chronomaton,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Anvil of Bogardan | Cathedral of War | Inkmoth Nexus,-1.0
Bayou | Cabal Therapy | Scythe Tiger,0.0
Bitterblossom | Cabal Therapy | Peat Bog,1.0
Blooming Marsh | Cabal Therapy | Crashing Footfalls,0.0
Blooming Marsh | Crashing Footfalls | Evil Presence,1.0
Channel | Hickory Woodlot | Karn Liberated,1.0
Charming Prince | Leonin Relic-Warder | Remote Farm,-0.5
Chronomaton | Karakas | Leyline of Singularity,-0.5
Crashing Footfalls | Path to Exile | Savannah,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,0.0
Gargadon | Sandstone Needle | Wild Magic Surge,-1.0
"Hollow Trees | Hollow Trees | Ulamog, the Infinite Gyre",1.0
Island | Piracy Charm | Sleep-Cursed Faerie,0.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Mental Misstep | Pendelhaven | Vault Skirge,0.0
Nether Spirit | Peat Bog | Smallpox,1.0
Augur of Skulls | Mishra's Factory | Mox Jet,0.0
Bitterblossom | Feed the Swarm | Peat Bog,-1.0
Bitterblossom | Peat Bog | Smallpox,0.0
Blightsteel Colossus | Energy Field | Sand Silos,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,-0.5
Bottomless Vault | Ophiomancer | Tithing Blade,-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Pick Your Poison | Savannah,0.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Undercity Sewers,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Chronomaton | Crashing Footfalls | Forest,-1.0
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Dark Depths | Peat Bog | Vampire Hexmage,1.0
Dark Depths | Sunken Citadel | Thespian's Stage,1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Gifted Aetherborn | Peat Bog | Sinkhole,1.0
Mindlash Sliver | Subterranean Hangar | Tithing Blade,1.0
Reality Shift | Saprazzan Skerry | Watcher of Hours,-0.5
Academy Ruins | Azorius Chancery | The Filigree Sylex,1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Angel of Sanctions | Icatian Store | Maze of Ith,0.0
"Armor of Thorns | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Badlands | Blazing Rootwalla | Tinybones Joins Up,0.0
Bandit's Talent | Mox Jet | Radiant Fountain,0.5
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.0
Dark Ritual | Phylactery Lich | Vault of Whispers,0.0
Daze | Hexdrinker | Tropical Island,0.0
Dismember | Hammerheim | Heartfire Hero,-1.0
Dread | Maze of Ith | Subterranean Hangar,0.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0
Endless One | Magus of the Vineyard | Pendelhaven,-0.5
Flare of Malice | Nested Shambler | Swamp,1.0
Greater Gargadon | Restore Balance | Undiscovered Paradise,0.0
Hexdrinker | Thoughtseize | Undiscovered Paradise,0.0
Hickory Woodlot | Outland Liberator | Tender Wildguide,-1.0
Living Conundrum | Maze of Ith | Sand Silos,0.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,0.5
Scrubland | Swooping Lookout | Thoughtseize,0.0
Scythe Tiger | Thoughtseize | Undiscovered Paradise,0.0
Ancient Tomb | Field of Ruin | Phyrexian Revoker,0.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Bitterblossom | Mox Jet | Rishadan Port,0.0
Cavern of Souls | Hexdrinker | Rishadan Port,0.0
"Chain of Vapor | Jace, Wielder of Mysteries | Saprazzan Cove",-1.0
Chancellor of the Annex | Chancellor of the Forge | Solitude,1.0
Chancellor of the Annex | Fountain of Cho | The Wandering Emperor,0.0
Chancellor of the Annex | Fountain of Cho | Werefox Bodyguard,0.0
Chancellor of the Annex | Icatian Store | Solitude,-0.5
"Chancellor of the Annex | Jace, Wielder of Mysteries | Sand Silos",1.0
Chancellor of the Annex | Memnite | Solitude,1.0
"Dark Depths | Lumbering Megasloth | Yavimaya, Cradle of Growth",1.0
"Deep-Cavern Bat | Maze of Ith | Urborg, Tomb of Yawgmoth",0.0
Deep-Cavern Bat | Mishra's Factory | Mox Jet,0.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,0.0
Fervent Champion | Sandstone Needle | Umezawa's Jitte,1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Giant Strength | Lightning Mare | Sandstone Needle,1.0
Hex Parasite | Mishra's Factory | Swamp,-0.5
Hexdrinker | Portable Hole | Undiscovered Paradise,-1.0
Ian the Reckless | Mox Ruby | The Monumental Facade,1.0
"Inkmoth Nexus | Mire's Toll | Urborg, Tomb of Yawgmoth",0.0
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,0.0
"Island | Lavinia, Azorius Renegade | Mox Pearl",0.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",1.0
Leyline of Lifeforce | Llanowar Reborn | Scythe Tiger,1.0
Mishra's Factory | Mox Jet | Thoughtseize,0.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Botanical Sanctum | Crashing Footfalls | Sea's Claim,1.0
Call to the Netherworld | Lion's Eye Diamond | Mesmeric Fiend,0.0
Cenn's Tactician | Karakas | Mental Misstep,0.0
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,0.5
Chancellor of the Forge | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Chronomaton | Curse of Silence | Karakas,0.0
City of Traitors | Dark Depths | Thespian's Stage,1.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.0
City of Traitors | Magus of the Moon | Simian Spirit Guide,0.0
Dryad Arbor | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,0.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend,0.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",1.0
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph,-0.5
Mind Swords | Mishra's Factory | Mox Jet,0.0
"Bottomless Vault | Ghalta and Mavren | Sorin, Imperious Bloodlord",1.0
Bottomless Vault | Nether Spirit | Smallpox,0.0
Cenn's Tactician | Encroach | Scrubland,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Dryad Arbor | Force of Despair | Unmask,0.0
Field of Ruin | Hickory Woodlot | Outland Liberator,1.0
High Market | Mox Opal | Sinister Concierge,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,-1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",1.0
Alpine Moon | Ocelot Pride | Undiscovered Paradise,0.5
Ancient Tomb | Anvil of Bogardan | Chancellor of the Forge,0.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-0.5
Ancient Tomb | Steel Overseer | Steel Overseer,0.0
Crystal Vein | Mox Emerald | Words of Wilding,0.0
Daze | Ocelot Pride | Tundra,0.0
Dimir Aqueduct | Hex Parasite | Mishra's Factory,-0.5
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,0.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,1.0
Karakas | Leyline of Singularity | Ocelot Pride,0.0
Mishra's Factory | Mox Pearl | Overencumbered,0.5
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
"Sand Silos | Ulamog, the Infinite Gyre | Web of Inertia",1.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,0.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",0.5
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Bottomless Vault | Dauthi Voidwalker | Murderous Rider,-1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
City of Traitors | Damping Sphere | Steel Overseer,0.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,0.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Hangarback Walker | Hangarback Walker,0.0
City of Traitors | Hangarback Walker | Steel Overseer,-1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Roterothopter | Sphere of Resistance,0.0
Daze | Island | Sleep-Cursed Faerie,0.0
Devoted Druid | Hickory Woodlot | Quillspike,1.0
Dismember | Dryad Arbor | Pick Your Poison,1.0
Hangarback Walker | Inkmoth Nexus | Rishadan Port,0.0
Hickory Woodlot | Maze of Ith | Outland Liberator,0.0
Hickory Woodlot | Packsong Pup | Packsong Pup,1.0
Inkmoth Nexus | Plains | Portable Hole,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Luminarch Aspirant | Mox Pearl | Rishadan Port,0.0
Mishra's Factory | Rishadan Port | Sunken Citadel,0.0
Mox Pearl | Mutavault | War Priest of Thune,0.0
Mox Pearl | Portable Hole | Warden of the Inner Sky,1.0
Mox Pearl | Skrelv's Hive | The Seedcore,0.0
Path to Exile | Prairie Dog | Remote Farm,-1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
"Ajani, Nacatl Pariah | Karakas | Mutavault",0.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,0.0
Calciform Pools | Island Sanctuary | Mirrex,1.0
Cavern of Souls | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,0.0
Contagion | Dryad Arbor | Unmask,0.0
Crystal Vein | Elite Spellbinder | Mox Pearl,0.0
Hexdrinker | Llanowar Reborn | Pick Your Poison,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,-1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,0.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,-0.5
Demolition Field | Idol of False Gods | Sol Ring,0.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,0.0
Karakas | Leyline of Singularity | Student of Warfare,-0.5
Mishra's Factory | Mox Pearl | Soul Partition,0.5
Sarcomancy | Swamp | Tel-Jilad Stylus,0.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,0.0
Assassin's Trophy | Dryad Arbor | Geothermal Crevice,1.0
Crystal Vein | Glass-Cast Heart | Mox Jet,0.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",1.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",0.5
Mox Pearl | Prairie Dog | Rishadan Port,0.0
Narnam Renegade | Student of Warfare | Undiscovered Paradise,-0.5
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",1.0
