Opponent Decklist,Result
Abu Ja'far | Cenn's Tactician | Plains,0.0
"Ajani, Nacatl Pariah | Boseiju, Who Endures | Selesnya Sanctuary",0.0
"Ancient Tomb | Auntie Blyte, Bad Influence | Mox Ruby",1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-1.0
Arc Blade | Lotus Bloom | Maze of Ith,-1.0
Blinkmoth Nexus | Inkmoth Nexus | Pendelhaven,0.0
Cenn's Tactician | Divest | Undiscovered Paradise,-0.5
Cenn's Tactician | Path to Exile | Plains,-1.0
Chancellor of the Forge | Force of Despair | Unmask,-1.0
Crystalline Giant | Darksteel Citadel | Mana Vault,1.0
Daze | Island | Siren Stormtamer,-1.0
Dryad Arbor | Dryad Arbor | Pick Your Poison,-1.0
Escape Detection | Hookblade Veteran | Island,-1.0
Grove of the Burnwillows | Mutavault | Punishing Fire,1.0
Hollow Trees | Leyline of Sanctity | Lumbering Megasloth,0.5
Hollow Trees | Nullhide Ferox | Pick Your Poison,-1.0
Inkmoth Nexus | Ruins of Oran-Rief | The Tabernacle at Pendrell Vale,0.0
Lotus Petal | Plains | Skrelv's Hive,-1.0
Ocelot Pride | Path to Exile | Plains,-1.0
Raging Ravine | Sunken Citadel | Sunken Citadel,0.0
