Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,-1.0
Assassin's Trophy | Geothermal Crevice | Reckless Waif,-0.5
Augur of Skulls | Dark Ritual | Swamp,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
City of Traitors | Elixir of Immortality | Hangarback Walker,-1.0
City of Traitors | Field of Ruin | Hangarback Walker,-1.0
City of Traitors | Hangarback Walker | Hangarback Walker,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Crack the Earth | Forge Devil | Sandstone Needle,0.0
Energy Field | Island | Mutavault,0.0
Field of Ruin | Hangarback Walker | Sol Ring,-1.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,-1.0
Inkmoth Nexus | Invasion of Gobakhan | Mox Pearl,-1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
Innocent Blood | Sacred Cat | Scrubland,0.0
Invisible Stalker | Reality Shift | Saprazzan Skerry,1.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",-1.0
Leyline of Sanctity | Remote Farm | Skrelv's Hive,-1.0
"Liliana, The Last Hope | Subterranean Hangar | Vadmir, New Blood",-1.0
Lore Broker | Saprazzan Skerry | Tide Shaper,-1.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
Prairie Dog | Remote Farm | Swarmyard,-1.0
