Opponent Decklist,Result
Ancient Tomb | Isochron Scepter | Warping Wail,-0.5
Bilious Skulldweller | Elixir of Immortality | Geothermal Crevice,1.0
Bitterblossom | Peat Bog | Thoughtseize,0.0
Braid of Fire | Red Sun's Zenith | Sandstone Needle,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Chancellor of the Annex | Field of Ruin | Icatian Store,1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Saprazzan Skerry | Tide Shaper,0.0
Dryad Arbor | Inkmoth Nexus | Pick Your Poison,1.0
Duskwielder | Paralyze | Swamp,1.0
Energy Field | Irrigation Ditch | Soltari Foot Soldier,-1.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,0.0
"Great Furnace | Krenko, Baron of Tin Street | Mana Crypt",0.0
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,-1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,-1.0
Karakas | Righteousness | Speaker of the Heavens,1.0
Nether Spirit | Peat Bog | Smallpox,0.0
Sunken Citadel | Sunken Citadel | Tomb of Urami,1.0
