,Result
Aether Vial | Blightsteel Colossus | Elvish Spirit Guide,1.0
Ajani's Pridemate | Remote Farm | Soulmender,-1.0
Alpine Moon | Snow-Covered Mountain | Village Messenger,-1.0
Ancient Tomb | Mox Jet | Rotting Regisaur,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bind the Monster | Gleeful Demolition | Silverbluff Bridge,-1.0
Blazing Rootwalla | Foil | Volcanic Island,1.0
Calciform Pools | Restless Anchorage | Wind Zendikon,-1.0
Dakmor Salvage | Molten Vortex | Mountain,1.0
Flickering Ward | Plains | Speaker of the Heavens,1.0
Foil | Mutavault | Snow-Covered Island,1.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,-1.0
Homeward Path | Mox Sapphire | Volatile Stormdrake,1.0
Invasion of Gobakhan | Remote Farm | Westfold Rider,-1.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Memnite | Memnite | Memnite,0.0
Nether Spirit | Peat Bog | Smallpox,1.0
Overencumbered | Remote Farm | Scalding Tongs,1.0
Planar Nexus | Urza's Tower | Walking Ballista,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",-1.0
