Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-0.5
Ancient Tomb | Isochron Scepter | Verdant Command,-0.5
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,0.0
Crystal Vein | Lodestone Golem | Mana Vault,-0.5
Daze | Island | Sleep-Cursed Faerie,-1.0
Forest | Hexdrinker | Wasteland,-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
Hope of Ghirapur | Wasteland | Welding Jar,0.0
Karakas | Leyline of Singularity | Sacred Cat,-1.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,-1.0
Memnite | Snow-Covered Swamp | Specter's Shriek,-0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mox Pearl | Mutavault | Skrelv's Hive,-1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-0.5
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Plains | Student of Warfare | Unwanted Remake,-0.5
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",-0.5
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-0.5
