Opponent Decklist,Result
Ancient Tomb | Field of Ruin | Phyrexian Revoker,-0.5
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Bayou | Hexdrinker | Thoughtseize,0.0
Bitterblossom | Mox Jet | Rishadan Port,0.0
Bitterblossom | Peat Bog | Smallpox,0.0
Cavern of Souls | Hexdrinker | Rishadan Port,-0.5
Chancellor of the Annex | Icatian Store | Solitude,0.0
"Chancellor of the Annex | Jace, Wielder of Mysteries | Sand Silos",1.0
Chancellor of the Annex | Memnite | Solitude,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Deep-Cavern Bat | Mishra's Factory | Mox Jet,0.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,0.0
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
