Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",0.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Alpine Moon | Ocelot Pride | Undiscovered Paradise,0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Anvil of Bogardan | Chancellor of the Forge,1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.0
Crystal Vein | Mox Emerald | Words of Wilding,0.0
Daze | Ocelot Pride | Tundra,0.5
Dimir Aqueduct | Hex Parasite | Mishra's Factory,0.0
Dismember | Hammerheim | Heartfire Hero,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,-0.5
Field of Ruin | Keldon Megaliths | Sunken Citadel,-1.0
Karakas | Leyline of Singularity | Ocelot Pride,1.0
Karakas | Meddling Mage | Mox Sapphire,-0.5
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
"Sand Silos | Ulamog, the Infinite Gyre | Web of Inertia",-1.0
