,Result
Ancient Tomb | Mana Vault | Thought-Knot Seer,-0.5
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Demolition Field | Idol of False Gods | Sol Ring,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Karakas | Meddling Mage | Mox Sapphire,-0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Plains | Student of Warfare | Unwanted Remake,0.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Sarcomancy | Swamp | Tel-Jilad Stylus,0.0
