Opponent Decklist,Result
Alpine Moon | Plateau | Student of Warfare,0.0
Badlands | Norin the Wary | Tinybones Joins Up,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Chancellor of the Forge | Fury | Mental Misstep,1.0
City of Traitors | Field of Ruin | Phyrexian Revoker,-0.5
City of Traitors | Hangarback Walker | Tsabo's Web,0.0
City of Traitors | Isochron Scepter | Selesnya Charm,-1.0
City of Traitors | Isochron Scepter | Sunder the Gateway,1.0
City of Traitors | Isochron Scepter | Verdant Command,-1.0
"City of Traitors | Lotus Bloom | Thrun, Breaker of Silence",-1.0
Curse of Silence | Inkmoth Nexus | Mox Pearl,0.0
"Dark Depths | Lumbering Megasloth | Yavimaya, Cradle of Growth",1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Dinosaurs on a Spaceship | Dwarven Hold | Icatian Store,-1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Hexdrinker | Mox Emerald | Rishadan Port,0.0
Inkmoth Nexus | Interplanar Beacon | Wrenn and Six,-1.0
Knight of the Holy Nimbus | Remote Farm | Soul Partition,0.0
Reconnaissance | Restless Anchorage | Wind Zendikon,1.0
Saprazzan Skerry | Tide Shaper | Tide Shaper,0.0
