,Result
Akoum Warrior | Akoum Warrior | Glimpse of Tomorrow,1.0
Alpine Moon | Hammerheim | Heartfire Hero,-0.5
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,-1.0
Ancient Tomb | Idol of False Gods | The Filigree Sylex,1.0
Ancient Tomb | Mox Sapphire | Visage Bandit,0.0
Animal Sanctuary | Sacred Cat | Sunken Citadel,0.5
Assassin Initiate | Inquisition of Kozilek | Urborg,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blazing Rootwalla | Restore Balance | Undiscovered Paradise,0.0
Blazing Volley | Hammerheim | Heartfire Hero,1.0
Blinding Angel | Mana Vault | Remote Farm,1.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Campfire | Eldrazi Temple | Idol of False Gods,-1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,-1.0
Dark Ritual | Hypnotic Specter | Swamp,-0.5
Dismember | Eldrazi Temple | Idol of False Gods,-1.0
Dryad Arbor | Dryad Arbor | Fishing Pole,1.0
Eldrazi Temple | Field of Ruin | Idol of False Gods,-1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,-1.0
Encroach | Student of Warfare | Undiscovered Paradise,-0.5
Field of Ruin | Remote Farm | Skrelv's Hive,-0.5
Field of Ruin | Sandstone Needle | Stingerback Terror,-0.5
Forbidden Orchard | Peat Bog | Suspended Sentence,1.0
Gilded Drake | Homeward Path | Mox Sapphire,1.0
Glistener Elf | Glistener Elf | Pendelhaven,0.0
Icatian Store | Solitude | Student of Warfare,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,-0.5
Island | Sleep-Cursed Faerie | Sleep-Cursed Faerie,-0.5
Legacy's Allure | Saprazzan Skerry | Warkite Marauder,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mesmeric Fiend | Mishra's Factory | Mox Jet,0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,0.5
Mishra's Factory | Mox Ruby | Sphere of Resistance,0.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,0.0
"Mu Yanling, Sky Dancer | Quicksand | Saprazzan Skerry",0.0
Nether Spirit | Peat Bog | Smallpox,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,0.0
