Opponent Decklist,Result
Bayou | Blackmail | Hexdrinker,-0.5
Black Lotus | Black Lotus | Frost Titan,0.0
"Black Lotus | Channel | Emrakul, the Promised End",0.0
Black Lotus | Dark Depths | Vampire Hexmage,-1.0
Black Lotus | Gideon of the Trials | Leyline of Sanctity,-1.0
Black Lotus | Gideon of the Trials | Pact of Negation,-1.0
Black Lotus | Manamorphose | Sprouting Thrinax,0.0
Black Lotus | Memnite | Wistful Thinking,-0.5
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",0.0
Cavern of Souls | Eater of Days | Mishra's Workshop,0.0
Cavern of Souls | Hexdrinker | Karakas,0.0
Chalice of the Void | City of Traitors | Lupine Prototype,-1.0
Chancellor of the Forge | Fury | Leyline of Lifeforce,-1.0
Chancellor of the Forge | Lithomantic Barrage | Mountain,-1.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,0.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,0.0
Copperline Gorge | Flaxen Intruder | Lithomantic Barrage,0.0
Daze | Hexdrinker | Tropical Island,-0.5
Dryad Arbor | Dryad Arbor | Treetop Village,0.0
Foil | Island | Nether Spirit,0.0
Fungal Reaches | Gnottvold Slumbermound | The Tabernacle at Pendrell Vale,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
