Opponent Decklist,Result
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",1.0
Ancient Tomb | Mox Ruby | Urabrask's Forge,0.0
Awakening Zone | Hollow Trees | World Breaker,1.0
Chancellor of the Forge | Mental Misstep | Wasteland,1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Crystal Vein | Hickory Woodlot | Nullhide Ferox,0.0
Darksteel Citadel | Mox Sapphire | Rise and Shine,0.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Dismember | Hollow Trees | Quagnoth,1.0
Drowner of Truth | Mox Sapphire | Teferi's Time Twist,-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",0.0
Glint Hawk | Glint Hawk | Mox Pearl,0.0
Hexdrinker | Snow-Covered Forest | Wasteland,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Island | Sleep-Cursed Faerie | Wasteland,0.0
Lake of the Dead | Leveler | Swamp,1.0
"Phelia, Exuberant Shepherd | Remote Farm | Unwanted Remake",1.0
Remote Farm | Sheltered by Ghosts | Voice of the Blessed,0.0
Saprazzan Skerry | Silent Hallcreeper | Silent Hallcreeper,1.0
Aether Vial | Chancellor of the Tangle | Knight of Autumn,1.0
"Ajani, Nacatl Pariah | Boros Garrison | The Tabernacle at Pendrell Vale",-1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
"Ancient Tomb | Sandstone Needle | Yidaro, Wandering Monster",0.0
Assassin Initiate | Evil Presence | Swamp,1.0
Bayou | Dreams of Steel and Oil | Hexdrinker,0.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
"Cruelclaw's Heist | Mishra's Factory | Urborg, Tomb of Yawgmoth",1.0
Daze | Hexdrinker | Tropical Island,0.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,1.0
"Forsaken City | Senu, Keen-Eyed Protector | Valentin, Dean of the Vein",0.0
Get Lost | Island Sanctuary | Remote Farm,1.0
Hexdrinker | Savannah | Unwanted Remake,-1.0
"Jan Jansen, Chaos Crafter | Tinder Farm | Vault of Whispers",0.0
Karakas | Leyline of Singularity | Mutavault,-0.5
Living Conundrum | Mana Vault | Saprazzan Skerry,-1.0
Memnite | Memnite | Memnite,1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Ruins Recluse | Rushwood Grove | Swarmyard,-1.0
